,Team,City,Country,Stadium,Capacity,Pitch
0,Wattenscheid 09,Bochum-Wattenscheid,Germany,Lohrheidestadion,16233,Natural
1,Hertha BSC,Berlín,Germany,Olympiastadion Berlin,76065,Natural
2,Unterhaching,Unterhaching,Germany,Sportpark Unterhaching,15053,Natural
3,Fortuna Köln,Cologne,Germany,Südstadion,14944,Natural
4,MSV Duisburg,Duisburgo,Germany,Schauinsland-Reisen-Arena,31514,Natural
5,Saarbrücken,Saarbrücken,Germany,Stadion Ludwigspark,35286,Natural
6,Braunschweig,Braunschweig,Germany,Eintracht-Stadion,23325,Natural
7,Hessen Kassel,Hessen,Germany,,"18,737",grass
8,VfL Osnabrück,Osnabrück,Germany,osnatel-ARENA,16130,Césped
9,Meppen,Meppen,Germany,MEP-Arena,16500,Natural
10,Blau-Weiß 1890 B.,Berlin,Germany,,3000,
11,Schalke 04,Gelsenkirchen,Germany,VELTINS-Arena,62271,Natural
12,RW Essen,Essen,Germany,Stadion Essen,20650,Natural
13,SC Freiburg,Freiburg,Germany,Schwarzwald-Stadion,24000,Natural
14,Alemannia Aachen,Aachen,Germany,Neuer Tivoli,32960,cesped natural
15,Darmstadt 98,Darmstadt,Germany,Merck-Stadion am Böllenfalltor,17000,Natural
16,Hannover 96,Hannover,Germany,HDI-Arena,49000,Natural
17,Stuttgarter,Stuttgart,Germany,GAZİ-Stadion auf der Waldau,11436,Natural
18,Preußen Münster,Münster,Germany,Preußen-Stadion,18050,Natural
19,Bayreuth SpVgg,Bayreuth,Germany,,21500,
20,Waldhof Mannheim,Mannheim,Germany,,"25,667",
21,FC 08 Homburg,Homburg,Germany,,"16,488",
22,Mainz 05,Mainz,Germany,Opel Arena,34034,Natural
23,VfB Oldenburg,Oldenburg,Germany,Marschwegstadion,15552,Natural
24,Havelse,Havelse,Germany,Wilhelm-Langrehr-Stadion,6000,Natural
25,Schweinfurt,Schweinfurt,Germany,,15060,
26,Hallescher FC,Halle,Germany,ERDGAS Sportpark,15057,Natural
27,Carl Zeiss Jena,Jena,Germany,Ernst-Abbe-Sportfeld,16000,Grass
28,Chemnitzer,Chemnitz,Germany,,16061,Grass
29,Rot-Weiss Erfurt,Erfurt,Germany,Steigerwaldstadion,19439,Natural
30,1860 München,München,Germany,Grünwalder Stadion,75000,Natural
31,Lokomotive Leipzig,Leipzig,Germany,,"10,900",
32,Wolfsburg,Wolfsburg,Germany,Volkswagen-Arena,30000,Natural
33,Wuppertaler SV,Wuppertal,Germany,,"23,067",
34,Hansa Rostock,Rostock,Germany,DKB Arena,29000,Natural
35,FC St. Pauli,Hamburg,Germany,Millerntor-Stadion,29546,Natural
36,Fortuna,Düsseldorf,Germany,ESPRIT arena,54500,Natural
37,FC Remscheid,Remscheid,Germany,,"12,463",Grass
38,VfL Bochum,Bochum,Germany,rewirpowerSTADION,30748,Natural
39,Tennis Borussia,Berlín,Germany,,11500,
40,KFC Uerdingen 05,Uerdingen,Germany,,"34,500",grass
41,FSV Frankfurt,Frankfurt am Main,Germany,Frankfurter Volksbank Stadion,10826,Natural
42,Zwickau,Zwickau,Germany,,10134,
43,Nürnberg,Nürnberg,Germany,Grundig-Stadion,50000,Natural
44,Arminia Bielefeld,Bielefeld,Germany,SchücoArena,27300,Natural
45,VfB Lübeck,Lübeck,Germany,,"17,849",grass
46,Eintracht,Frankfurt am Main,Germany,Commerzbank-Arena,52300,Natural
47,Gutersloh,Gutersloh,Germany,,8400,
48,Kaiserslautern,Kaiserslautern,Germany,Fritz-Walter-Stadion,49780,Natural
49,Greuther Fürth,Fürth,Germany,Sportpark Ronhof Thomas Sommer,18000,Natural
50,Energie Cottbus,Cottbus,Germany,"Stadion der Freundschaft, Cottbus",22528,Natural
51,Ulm,Ulm,Germany,,19500,
52,Köln,Köln,Germany,RheinEnergieStadion,49968,Natural
53,Rot-Weiß,Essen,Germany,Stadion Niederrhein,21318,
54,Karlsruher SC,Karlsruhe,Germany,Wildparkstadion,29699,Natural
55,Kickers Offenbach,Offenbach,Germany,Bieberer Berg Stadion,25200,Césped
56,Mönchengladbach,Mönchengladbach,Germany,Borussia-Park,54057,Natural
57,Reutlingen,Reutlingen,Germany,,15228,
58,Rot Weiss Ahlen,Ahlen,Germany,Wersestadion,11498,
59,SV Babelsberg 03,Potsdam,Germany,Karl-Liebknecht-Stadion,"10,787",Grass
60,Union Berlin,Berlin,Germany,Stadion An der Alten Försterei,22012,cesped real
61,Eintracht Trier,Tréveris,Germany,,"10,256",Grass
62,Wacker Burghausen,Burghausen,Germany,Wacker-Arena,10200,Natural
63,Jahn Regensburg,Ratisbona,Germany,Städtisches Jahnstadion,12500,Natural
64,Erzgebirge Aue,Aue,Germany,Sparkassen-Erzgebirgsstadion,15690,Natural
65,Dynamo Dresden,Dresden,Germany,DDV-Stadion,32066,Natural
66,Siegen,Siegen,Germany,,18500,
67,Paderborn,Paderborn,Germany,Benteler-Arena,15306,Natural
68,TuS Koblenz,Koblenz,Germany,Stadion Oberwerth,16527,
69,FC Augsburg,Augsburg,Germany,WWK Arena,30662,Natural
70,Wehen Burghausen,Burghausen,Germany,,10000,
71,Hoffenheim,Sinsheim,Germany,WIRSOL Rhein-Neckar-Arena,21000,Natural
72,Ingolstadt 04,Ingolstadt,Germany,Audi-Sportpark,15729,NATURAL
73,VfR Aalen,Aalen,Germany,Scholz Arena,11183,Natural
74,Sandhausen,Sandhausen,Germany,Hardtwaldstadion,12136,Natural
75,Heidenheim,Heidenheim an der Brenz,Germany,Voith-Arena,15000,Natural
76,RB Leipzig,Leipzig,Germany,Red Bull Arena,44345,Natural
77,Stuttgart,Stuttgart,Germany,Mercedes-Benz-Arena,60469,Natural
78,Würzburger,Würzburg,Germany,flyeralarm-Arena,14500,
79,Holstein Kiel,Kiel,Germany,Holstein-Stadion,11522,Natural
80,Magdeburg,Magdeburg,Germany,,25910,
81,Hamburger SV,Hamburg,Germany,Volksparkstadion,57030,Natural
82,Wehen Wiesbaden,Wiesbaden,Germany,BRITA-Arena,13144,Natural
83,Bayern München,München,Germany,Allianz Arena,75000,Natural
84,B. Leverkusen,Leverkusen,Germany,BayArena,30210,Natural
85,Werder Bremen,Bremen,Germany,Weserstadion,42358,Natural
86,B. Dortmund,Dortmund,Germany,Signal Iduna Park,81359,Natural
87,West Ham,Londres,England,London Stadium,80000,Natural
88,Blackburn Rovers,Blackburn,England,Ewood Park,31367,Natural
89,Sheffield United,Sheffield,England,Bramall Lane,32702,Natural
90,Ipswich Town,Ipswich,England,Portman Road Stadium,30311,Natural
91,Sunderland,Sunderland,England,Stadium of Light,49000,Natural
92,Watford,Watford,England,Vicarage Road Stadium,19920,Natural
93,Newcastle,Newcastle upon Tyne,England,St. James' Park,52389,Natural
94,Port Vale,Stoke-on-Trent,England,Vale Park,19052,Natural
95,AFC Bournemouth,Bournemouth,England,Vitality Stadium,12000,Natural
96,Leeds United,Leeds,England,Elland Road,40204,Natural
97,Plymouth Argyle,Plymouth,England,Home Park,19500,Natural
98,Middlesbrough,Middlesbrough,England,Riverside Stadium,34988,Natural
99,Brighton Hove Alb.,Brighton,England,The American Express Community Stadium,30750,Natural
100,Barnsley,Barnsley,England,Oakwell Stadium,23009,Natural
101,Stoke City,Stoke-on-Trent,England,bet365 Stadium,28383,Natural
102,Oldham Athletic,Oldham,England,Boundary Park,13512,
103,Leicester,Leicester,England,King Power Stadium,32500,Natural
104,Bradford City,Bradford,England,Coral Windows Stadium,25136,Natural
105,Hull City,Kingston upon Hull,England,Kingston Communications Stadium,25504,Natural
106,Portsmouth,Portsmouth,England,Fratton Park,20821,Natural
107,Wolves,Wolverhampton,England,Molineux Stadium,29195,Natural
108,Swindon Town,Swindon,England,County Ground,15728,Natural
109,Oxford United,Oxford,England,The Kassam Stadium,12500,Natural
110,West Bromwich Alb.,West Bromwich,England,The Hawthorns,28003,Natural
111,Bristol City,Bristol,England,Ashton Gate Stadium,21497,Natural
112,Sheffield,Sheffield,England,Hillsborough Stadium,39814,Natural
113,Notts County,Nottingham,England,Meadow Lane Stadium,19588,Natural
114,Millwall,Londres,England,The Den,20146,Natural
115,Bristol Rovers,Bristol,England,Memorial Stadium,11916,Natural
116,Charlton Athletic,Londres,England,The Valley,27111,Natural
117,Cambridge United,Cambridge,England,The R Costings Abbey Stadium,10847,Natural
118,Tranmere Rovers,Wirral,England,Prenton Park,16587,Natural
119,Derby County,Derby,England,iPro Stadium,33597,Natural
120,Grimsby Town,Grimsby,England,Blundell Park,9546,Grass
121,Southend United,Southend-on-Sea,England,Roots Hall Stadium,12392,Natural
122,Birmingham City,Birmingham,England,St. Andrew's Stadium,30009,Natural
123,Peterborough,Peterborough,England,London Road Stadium,15142,Natural
124,Brentford,Brentford,England,Griffin Park,12763,Natural
125,Luton Town,Luton,England,Kenilworth Road Stadium,"10,356",Grass
126,Crystal Palace,Londres,England,Selhurst Park,26309,Natural
127,Nottingham Forest,Nottingham,England,The City Ground,30576,Natural
128,Bolton Wanderers,Bolton,England,Reebok Stadium,28723,Natural
129,Oxford City,Oxford,England,Court Place Farm,2000,Natural
130,Reading,Reading,England,Madejski Stadium,24200,Natural
131,Burnley,Burnley,England,Turf Moor,22546,Natural
132,Norwich City,Norwich,England,Carrow Road,27033,Natural
133,Huddersfield Town,Huddersfield,England,The John Smith's Stadium,24554,Natural
134,Queens Park Range.,Londres,England,Loftus Road,19100,Natural
135,Man. City,Mánchester,England,Etihad Stadium,55097,Natural
136,Crewe Alexandra,Crewe,England,Alexandra Stadium,10153,Natural
137,Bury,Greater Manchester,England,,12500,
138,Stockport County,Cheshire,England,Edgeley Park,10852,Natural
139,Fulham,Londres,England,Craven Cottage,25700,Natural
140,Walsall,Walsall,England,The Banks's Stadium,11300,Natural
141,Preston North End,Preston,England,Deepdale Stadium,23408,Natural
142,Wimbledon FC,London,England,,"15,876",Grass
143,Gillingham,Gillingham,England,KRBS Priestfield Stadium,11582,Natural
144,Coventry City,Coventry,England,City of Coventry Stadium,32609,Natural
145,Rotherham United,Rotherham,England,New York Stadium,12021,Natural
146,Cardiff City,Cardiff,England,Cardiff City Stadium,28016,Natural
147,Wigan Athletic,Wigan,England,The DW Stadium,25138,Natural
148,Swansea City,Swansea,England,Liberty Stadium,20769,Natural
149,Wycombe Wanderers,Wycombe,England,Adams Park,10000,Natural
150,MVV Maastricht,Maastricht,Netherlands,Stadion De Geusselt,10000,Natural
151,FC Eindhoven,Eindhoven,Netherlands,Jan Louwers Stadion,5400,Natural
152,Emmen,Emmen,Netherlands,Univé Stadion,8600,Natural
153,Go Ahead Eagles,Deventer,Netherlands,De Adelaarshorst,10000,Natural
