Home_Team,Away_Team,Result,Link,Season,Round,League
VfL Bochum,FC St. Pauli,0-1,https://www.besoccer.com/match/bochum/st-pauli/2018432033,2018,1,2_liga
Ingolstadt 04,Union Berlin,0-1,https://www.besoccer.com/match/fc-ingolstadt-04/1-fc-union-berlin/2018432034,2018,1,2_liga
Darmstadt 98,Greuther Fürth,1-0,https://www.besoccer.com/match/darmstadt-98/greuther-furth/2018432035,2018,1,2_liga
Arminia Bielefeld,Jahn Regensburg,2-1,https://www.besoccer.com/match/arminia-bielefeld/ssv-jahn-regensburg/2018432337,2018,1,2_liga
Nürnberg,Kaiserslautern,3-0,https://www.besoccer.com/match/fc-nurnberg/kaiserslautern/2018432336,2018,1,2_liga
Dynamo Dresden,MSV Duisburg,1-0,https://www.besoccer.com/match/sg-dynamo-dresden/msv-duisburg/2018432036,2018,1,2_liga
Holstein Kiel,Sandhausen,2-2,https://www.besoccer.com/match/holstein-kiel/sv-sandhausen/2018432338,2018,1,2_liga
Fortuna Düsseldorf,Braunschweig,2-2,https://www.besoccer.com/match/fortuna-dusseldorf/eintracht-brau-hellip/2018432335,2018,1,2_liga
Heidenheim,Erzgebirge Aue,2-1,https://www.besoccer.com/match/heidenheim/fc-erzgebirge-aue/2018432037,2018,1,2_liga
Union Berlin,Holstein Kiel,4-3,https://www.besoccer.com/match/1-fc-union-berlin/holstein-kiel/2018432349,2018,2,2_liga
Sandhausen,Ingolstadt 04,1-0,https://www.besoccer.com/match/sv-sandhausen/fc-ingolstadt-04/2018432352,2018,2,2_liga
Kaiserslautern,Darmstadt 98,1-1,https://www.besoccer.com/match/kaiserslautern/darmstadt-98/2018432353,2018,2,2_liga
MSV Duisburg,VfL Bochum,1-1,https://www.besoccer.com/match/msv-duisburg/bochum/2018432355,2018,2,2_liga
Braunschweig,Heidenheim,2-0,https://www.besoccer.com/match/eintracht-brau-hellip/heidenheim/2018432348,2018,2,2_liga
Jahn Regensburg,Nürnberg,0-1,https://www.besoccer.com/match/ssv-jahn-regensburg/fc-nurnberg/2018432356,2018,2,2_liga
Greuther Fürth,Arminia Bielefeld,1-2,https://www.besoccer.com/match/greuther-furth/arminia-bielefeld/2018432351,2018,2,2_liga
Erzgebirge Aue,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/fc-erzgebirge-aue/fortuna-dusseldorf/2018432354,2018,2,2_liga
FC St. Pauli,Dynamo Dresden,2-2,https://www.besoccer.com/match/st-pauli/sg-dynamo-dresden/2018432350,2018,2,2_liga
Darmstadt 98,FC St. Pauli,3-0,https://www.besoccer.com/match/darmstadt-98/st-pauli/2018432358,2018,3,2_liga
Braunschweig,Erzgebirge Aue,1-1,https://www.besoccer.com/match/eintracht-brau-hellip/fc-erzgebirge-aue/2018432359,2018,3,2_liga
Dynamo Dresden,Sandhausen,0-4,https://www.besoccer.com/match/sg-dynamo-dresden/sv-sandhausen/2018432360,2018,3,2_liga
Heidenheim,MSV Duisburg,1-2,https://www.besoccer.com/match/heidenheim/msv-duisburg/2018432361,2018,3,2_liga
Fortuna Düsseldorf,Kaiserslautern,2-0,https://www.besoccer.com/match/fortuna-dusseldorf/kaiserslautern/2018432362,2018,3,2_liga
Ingolstadt 04,Jahn Regensburg,2-4,https://www.besoccer.com/match/fc-ingolstadt-04/ssv-jahn-regensburg/2018432357,2018,3,2_liga
Nürnberg,Union Berlin,2-2,https://www.besoccer.com/match/fc-nurnberg/1-fc-union-berlin/2018432363,2018,3,2_liga
Holstein Kiel,Greuther Fürth,3-1,https://www.besoccer.com/match/holstein-kiel/greuther-furth/2018432365,2018,3,2_liga
Arminia Bielefeld,VfL Bochum,2-0,https://www.besoccer.com/match/arminia-bielefeld/bochum/2018432364,2018,3,2_liga
Greuther Fürth,Ingolstadt 04,0-1,https://www.besoccer.com/match/greuther-furth/fc-ingolstadt-04/2018432368,2018,4,2_liga
MSV Duisburg,Darmstadt 98,1-2,https://www.besoccer.com/match/msv-duisburg/darmstadt-98/2018432373,2018,4,2_liga
