Home_Team,Away_Team,Result,Link,Season,Round,League
Werder Bremen,Fortuna Düsseldorf,1-1,https://www.besoccer.com/match/werder-bremen/fortuna-dusseldorf/19967857,1996,1,bundesliga
Stuttgart,KFC Uerdingen 05,0-0,https://www.besoccer.com/match/stuttgart/kfc-uerdingen-05/19967858,1996,1,bundesliga
B. Dortmund,Kaiserslautern,1-1,https://www.besoccer.com/match/borussia-dortmund/kaiserslautern/19967859,1996,1,bundesliga
Köln,Schalke 04,0-1,https://www.besoccer.com/match/1-fc-koln/schalke-04/19967860,1996,1,bundesliga
Bayern München,Hamburger SV,3-2,https://www.besoccer.com/match/bayern-munchen/hamburger-sv/19967861,1996,1,bundesliga
Eintracht Frankfurt,Karlsruher SC,2-2,https://www.besoccer.com/match/eintracht-frankfurt/karlsruher-sc/19967862,1996,1,bundesliga
FC St. Pauli,1860 München,4-2,https://www.besoccer.com/match/st-pauli/1860-munchen/19967863,1996,1,bundesliga
Hansa Rostock,B. Leverkusen,1-2,https://www.besoccer.com/match/hansa-rostock/bayer-leverkusen/19967864,1996,1,bundesliga
B. Mönchengladbach,SC Freiburg,1-0,https://www.besoccer.com/match/borussia-monchengla/sc-freiburg/19967865,1996,1,bundesliga
SC Freiburg,FC St. Pauli,0-2,https://www.besoccer.com/match/sc-freiburg/st-pauli/19967866,1996,2,bundesliga
Hamburger SV,Werder Bremen,3-3,https://www.besoccer.com/match/hamburger-sv/werder-bremen/19967867,1996,2,bundesliga
Schalke 04,Hansa Rostock,1-3,https://www.besoccer.com/match/schalke-04/hansa-rostock/19967868,1996,2,bundesliga
B. Leverkusen,B. Dortmund,1-1,https://www.besoccer.com/match/bayer-leverkusen/borussia-dortmund/19967869,1996,2,bundesliga
1860 München,Stuttgart,1-1,https://www.besoccer.com/match/1860-munchen/stuttgart/19967870,1996,2,bundesliga
KFC Uerdingen 05,Eintracht Frankfurt,1-1,https://www.besoccer.com/match/kfc-uerdingen-05/eintracht-frankfurt/19967871,1996,2,bundesliga
Karlsruher SC,Bayern München,2-6,https://www.besoccer.com/match/karlsruher-sc/bayern-munchen/19967872,1996,2,bundesliga
Kaiserslautern,B. Mönchengladbach,1-3,https://www.besoccer.com/match/kaiserslautern/borussia-monchengla/19967873,1996,2,bundesliga
Fortuna Düsseldorf,Köln,1-1,https://www.besoccer.com/match/fortuna-dusseldorf/1-fc-koln/19967874,1996,2,bundesliga
Hansa Rostock,B. Dortmund,3-2,https://www.besoccer.com/match/hansa-rostock/borussia-dortmund/19967875,1996,3,bundesliga
Köln,Hamburger SV,3-2,https://www.besoccer.com/match/1-fc-koln/hamburger-sv/19967876,1996,3,bundesliga
Werder Bremen,Karlsruher SC,1-0,https://www.besoccer.com/match/werder-bremen/karlsruher-sc/19967877,1996,3,bundesliga
FC St. Pauli,Kaiserslautern,1-2,https://www.besoccer.com/match/st-pauli/kaiserslautern/19967878,1996,3,bundesliga
B. Mönchengladbach,B. Leverkusen,0-0,https://www.besoccer.com/match/borussia-monchengla/bayer-leverkusen/19967879,1996,3,bundesliga
Bayern München,KFC Uerdingen 05,2-0,https://www.besoccer.com/match/bayern-munchen/kfc-uerdingen-05/19967880,1996,3,bundesliga
Eintracht Frankfurt,1860 München,4-2,https://www.besoccer.com/match/eintracht-frankfurt/1860-munchen/19967881,1996,3,bundesliga
Stuttgart,SC Freiburg,3-1,https://www.besoccer.com/match/stuttgart/sc-freiburg/19967882,1996,3,bundesliga
Schalke 04,Fortuna Düsseldorf,1-1,https://www.besoccer.com/match/schalke-04/fortuna-dusseldorf/19967883,1996,3,bundesliga
Karlsruher SC,Köln,1-0,https://www.besoccer.com/match/karlsruher-sc/1-fc-koln/19967884,1996,4,bundesliga
B. Dortmund,B. Mönchengladbach,2-1,https://www.besoccer.com/match/borussia-dortmund/borussia-monchengla/19967885,1996,4,bundesliga
B. Leverkusen,FC St. Pauli,1-1,https://www.besoccer.com/match/bayer-leverkusen/st-pauli/19967886,1996,4,bundesliga
SC Freiburg,Eintracht Frankfurt,2-0,https://www.besoccer.com/match/sc-freiburg/eintracht-frankfurt/19967887,1996,4,bundesliga
1860 München,Bayern München,0-2,https://www.besoccer.com/match/1860-munchen/bayern-munchen/19967888,1996,4,bundesliga
KFC Uerdingen 05,Werder Bremen,3-0,https://www.besoccer.com/match/kfc-uerdingen-05/werder-bremen/19967889,1996,4,bundesliga
Hamburger SV,Schalke 04,1-1,https://www.besoccer.com/match/hamburger-sv/schalke-04/19967890,1996,4,bundesliga
Fortuna Düsseldorf,Hansa Rostock,2-2,https://www.besoccer.com/match/fortuna-dusseldorf/hansa-rostock/19967891,1996,4,bundesliga
Kaiserslautern,Stuttgart,1-1,https://www.besoccer.com/match/kaiserslautern/stuttgart/19967892,1996,4,bundesliga
Köln,KFC Uerdingen 05,0-0,https://www.besoccer.com/match/1-fc-koln/kfc-uerdingen-05/19967893,1996,5,bundesliga
Werder Bremen,1860 München,2-0,https://www.besoccer.com/match/werder-bremen/1860-munchen/19967894,1996,5,bundesliga
Bayern München,SC Freiburg,2-0,https://www.besoccer.com/match/bayern-munchen/sc-freiburg/19967895,1996,5,bundesliga
Eintracht Frankfurt,Kaiserslautern,3-1,https://www.besoccer.com/match/eintracht-frankfurt/kaiserslautern/19967896,1996,5,bundesliga
Stuttgart,B. Leverkusen,1-4,https://www.besoccer.com/match/stuttgart/bayer-leverkusen/19967897,1996,5,bundesliga
FC St. Pauli,B. Dortmund,0-3,https://www.besoccer.com/match/st-pauli/borussia-dortmund/19967898,1996,5,bundesliga
Fortuna Düsseldorf,Hamburger SV,2-2,https://www.besoccer.com/match/fortuna-dusseldorf/hamburger-sv/19967899,1996,5,bundesliga
