Home_Team,Away_Team,Result,Link,Season,Round,League
Dordrecht,FC Eindhoven,1-1,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/200410771,2004,1,eerste_divisie
AGOVV Apeldoorn,TOP Oss,1-2,https://www.besoccer.com/match/agovv-apeldoorn/fc-oss/200410772,2004,1,eerste_divisie
SC Telstar,MVV Maastricht,3-1,https://www.besoccer.com/match/stormvogels-telstar/mvv/200410773,2004,1,eerste_divisie
Helmond Sport,Cambuur,2-0,https://www.besoccer.com/match/helmond-sport/sc-cambuur-leeuwarden/200410774,2004,1,eerste_divisie
VVV Venlo,Heracles,1-1,https://www.besoccer.com/match/vvv/heracles/200410775,2004,1,eerste_divisie
Fortuna Sittard,BV Veendam ,2-2,https://www.besoccer.com/match/fortuna-sittard/veendam/200410776,2004,1,eerste_divisie
Emmen,Excelsior,0-0,https://www.besoccer.com/match/emmen/excelsior/200410777,2004,1,eerste_divisie
Sparta Rotterdam,De Graafschap,6-1,https://www.besoccer.com/match/sparta-rotterdam/graafschap/200410770,2004,1,eerste_divisie
HFC Haarlem ,Den Bosch,1-3,https://www.besoccer.com/match/haarlem/fc-den-bosch/200410769,2004,1,eerste_divisie
Dordrecht,FC Eindhoven,1-1,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/200410771,2004,2,eerste_divisie
AGOVV Apeldoorn,TOP Oss,1-2,https://www.besoccer.com/match/agovv-apeldoorn/fc-oss/200410772,2004,2,eerste_divisie
SC Telstar,MVV Maastricht,3-1,https://www.besoccer.com/match/stormvogels-telstar/mvv/200410773,2004,2,eerste_divisie
Helmond Sport,Cambuur,2-0,https://www.besoccer.com/match/helmond-sport/sc-cambuur-leeuwarden/200410774,2004,2,eerste_divisie
VVV Venlo,Heracles,1-1,https://www.besoccer.com/match/vvv/heracles/200410775,2004,2,eerste_divisie
Fortuna Sittard,BV Veendam ,2-2,https://www.besoccer.com/match/fortuna-sittard/veendam/200410776,2004,2,eerste_divisie
Emmen,Excelsior,0-0,https://www.besoccer.com/match/emmen/excelsior/200410777,2004,2,eerste_divisie
Sparta Rotterdam,De Graafschap,6-1,https://www.besoccer.com/match/sparta-rotterdam/graafschap/200410770,2004,2,eerste_divisie
HFC Haarlem ,Den Bosch,1-3,https://www.besoccer.com/match/haarlem/fc-den-bosch/200410769,2004,2,eerste_divisie
Dordrecht,FC Eindhoven,1-1,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/200410771,2004,3,eerste_divisie
AGOVV Apeldoorn,TOP Oss,1-2,https://www.besoccer.com/match/agovv-apeldoorn/fc-oss/200410772,2004,3,eerste_divisie
SC Telstar,MVV Maastricht,3-1,https://www.besoccer.com/match/stormvogels-telstar/mvv/200410773,2004,3,eerste_divisie
Helmond Sport,Cambuur,2-0,https://www.besoccer.com/match/helmond-sport/sc-cambuur-leeuwarden/200410774,2004,3,eerste_divisie
VVV Venlo,Heracles,1-1,https://www.besoccer.com/match/vvv/heracles/200410775,2004,3,eerste_divisie
Fortuna Sittard,BV Veendam ,2-2,https://www.besoccer.com/match/fortuna-sittard/veendam/200410776,2004,3,eerste_divisie
Emmen,Excelsior,0-0,https://www.besoccer.com/match/emmen/excelsior/200410777,2004,3,eerste_divisie
Sparta Rotterdam,De Graafschap,6-1,https://www.besoccer.com/match/sparta-rotterdam/graafschap/200410770,2004,3,eerste_divisie
HFC Haarlem ,Den Bosch,1-3,https://www.besoccer.com/match/haarlem/fc-den-bosch/200410769,2004,3,eerste_divisie
Dordrecht,FC Eindhoven,1-1,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/200410771,2004,4,eerste_divisie
AGOVV Apeldoorn,TOP Oss,1-2,https://www.besoccer.com/match/agovv-apeldoorn/fc-oss/200410772,2004,4,eerste_divisie
