Home_Team,Away_Team,Result,Link,Season,Round,League
PEC Zwolle,Willem II,1-3,https://www.besoccer.com/match/fc-zwolle/willem-ii/202011760,2020,1,eredivisie
Vitesse,Ajax,2-2,https://www.besoccer.com/match/vitesse/ajax/202011761,2020,1,eredivisie
Emmen,Groningen,0-1,https://www.besoccer.com/match/emmen/fc-groningen/202011762,2020,1,eredivisie
VVV Venlo,RKC Waalwijk,3-1,https://www.besoccer.com/match/vvv/rkc-waalwijk/202011763,2020,1,eredivisie
Twente 1965,PSV,1-1,https://www.besoccer.com/match/fc-twente-1965/psv/202011764,2020,1,eredivisie
Heracles,Heerenveen,0-4,https://www.besoccer.com/match/heracles/heerenveen/202011765,2020,1,eredivisie
Feyenoord,Sparta Rotterdam,2-2,https://www.besoccer.com/match/feyenoord/sparta-rotterdam/202011767,2020,1,eredivisie
ADO Den Haag,Utrecht,2-4,https://www.besoccer.com/match/ado-den-haag/fc-utrecht/202011766,2020,1,eredivisie
AZ Alkmaar,Fortuna Sittard,4-0,https://www.besoccer.com/match/az/fortuna-sittard/202011768,2020,1,eredivisie
Sparta Rotterdam,VVV Venlo,4-1,https://www.besoccer.com/match/sparta-rotterdam/vvv/202011769,2020,2,eredivisie
Groningen,Twente 1965,1-3,https://www.besoccer.com/match/fc-groningen/fc-twente-1965/202011770,2020,2,eredivisie
Ajax,Emmen,5-0,https://www.besoccer.com/match/ajax/emmen/202011771,2020,2,eredivisie
Willem II,Vitesse,0-2,https://www.besoccer.com/match/willem-ii/vitesse/202011773,2020,2,eredivisie
Fortuna Sittard,Heracles,1-1,https://www.besoccer.com/match/fortuna-sittard/heracles/202011774,2020,2,eredivisie
Heerenveen,Feyenoord,1-1,https://www.besoccer.com/match/heerenveen/feyenoord/202011775,2020,2,eredivisie
RKC Waalwijk,AZ Alkmaar,0-2,https://www.besoccer.com/match/rkc-waalwijk/az/202011776,2020,2,eredivisie
Utrecht,PEC Zwolle,3-1,https://www.besoccer.com/match/fc-utrecht/fc-zwolle/202011777,2020,2,eredivisie
PSV,ADO Den Haag,3-1,https://www.besoccer.com/match/psv/ado-den-haag/202011772,2020,2,eredivisie
Vitesse,PEC Zwolle,3-0,https://www.besoccer.com/match/vitesse/fc-zwolle/202011778,2020,3,eredivisie
VVV Venlo,Ajax,1-4,https://www.besoccer.com/match/vvv/ajax/202011779,2020,3,eredivisie
ADO Den Haag,Sparta Rotterdam,1-2,https://www.besoccer.com/match/ado-den-haag/sparta-rotterdam/202011780,2020,3,eredivisie
Emmen,Heerenveen,2-0,https://www.besoccer.com/match/emmen/heerenveen/202011782,2020,3,eredivisie
Fortuna Sittard,Willem II,2-3,https://www.besoccer.com/match/fortuna-sittard/willem-ii/202011783,2020,3,eredivisie
Twente 1965,RKC Waalwijk,3-3,https://www.besoccer.com/match/fc-twente-1965/rkc-waalwijk/202011785,2020,3,eredivisie
Feyenoord,Utrecht,1-1,https://www.besoccer.com/match/feyenoord/fc-utrecht/202011784,2020,3,eredivisie
AZ Alkmaar,Groningen,0-0,https://www.besoccer.com/match/az/fc-groningen/202011786,2020,3,eredivisie
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/202011781,2020,3,eredivisie
Willem II,Emmen,2-1,https://www.besoccer.com/match/willem-ii/emmen/202011787,2020,4,eredivisie
Heracles,Vitesse,1-1,https://www.besoccer.com/match/heracles/vitesse/202011789,2020,4,eredivisie
Heerenveen,Twente 1965,0-0,https://www.besoccer.com/match/heerenveen/fc-twente-1965/202011790,2020,4,eredivisie
RKC Waalwijk,ADO Den Haag,0-3,https://www.besoccer.com/match/rkc-waalwijk/ado-den-haag/202011792,2020,4,eredivisie
Utrecht,VVV Venlo,1-2,https://www.besoccer.com/match/fc-utrecht/vvv/202011794,2020,4,eredivisie
PEC Zwolle,Sparta Rotterdam,2-2,https://www.besoccer.com/match/fc-zwolle/sparta-rotterdam/202011793,2020,4,eredivisie
PSV,Groningen,3-1,https://www.besoccer.com/match/psv/fc-groningen/202011791,2020,4,eredivisie
Ajax,Fortuna Sittard,5-0,https://www.besoccer.com/match/ajax/fortuna-sittard/202011788,2020,4,eredivisie
Feyenoord,AZ Alkmaar,0-3,https://www.besoccer.com/match/feyenoord/az/202011795,2020,4,eredivisie
Emmen,PEC Zwolle,1-3,https://www.besoccer.com/match/emmen/fc-zwolle/202011796,2020,5,eredivisie
Heerenveen,Fortuna Sittard,1-1,https://www.besoccer.com/match/heerenveen/fortuna-sittard/202011797,2020,5,eredivisie
Groningen,Heracles,1-2,https://www.besoccer.com/match/fc-groningen/heracles/202011799,2020,5,eredivisie
ADO Den Haag,VVV Venlo,1-0,https://www.besoccer.com/match/ado-den-haag/vvv/202011800,2020,5,eredivisie
Twente 1965,Utrecht,3-1,https://www.besoccer.com/match/fc-twente-1965/fc-utrecht/202011801,2020,5,eredivisie
Sparta Rotterdam,Ajax,1-4,https://www.besoccer.com/match/sparta-rotterdam/ajax/202011802,2020,5,eredivisie
Willem II,Feyenoord,0-1,https://www.besoccer.com/match/willem-ii/feyenoord/202011803,2020,5,eredivisie
Vitesse,AZ Alkmaar,2-1,https://www.besoccer.com/match/vitesse/az/202011804,2020,5,eredivisie
RKC Waalwijk,PSV,1-3,https://www.besoccer.com/match/rkc-waalwijk/psv/202011798,2020,5,eredivisie
AZ Alkmaar,Sparta Rotterdam,5-1,https://www.besoccer.com/match/az/sparta-rotterdam/202011805,2020,6,eredivisie
Ajax,Heerenveen,4-1,https://www.besoccer.com/match/ajax/heerenveen/202011809,2020,6,eredivisie
VVV Venlo,Groningen,2-1,https://www.besoccer.com/match/vvv/fc-groningen/202011807,2020,6,eredivisie
PSV,Vitesse,5-0,https://www.besoccer.com/match/psv/vitesse/202011806,2020,6,eredivisie
Utrecht,Emmen,3-1,https://www.besoccer.com/match/fc-utrecht/emmen/202011808,2020,6,eredivisie
PEC Zwolle,RKC Waalwijk,6-2,https://www.besoccer.com/match/fc-zwolle/rkc-waalwijk/202011810,2020,6,eredivisie
Feyenoord,ADO Den Haag,3-2,https://www.besoccer.com/match/feyenoord/ado-den-haag/202011811,2020,6,eredivisie
Heracles,Willem II,4-1,https://www.besoccer.com/match/heracles/willem-ii/202011812,2020,6,eredivisie
Fortuna Sittard,Twente 1965,2-3,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/202011813,2020,6,eredivisie
Twente 1965,Heracles,2-3,https://www.besoccer.com/match/fc-twente-1965/heracles/202011814,2020,7,eredivisie
Sparta Rotterdam,RKC Waalwijk,4-0,https://www.besoccer.com/match/sparta-rotterdam/rkc-waalwijk/202011815,2020,7,eredivisie
Willem II,VVV Venlo,1-0,https://www.besoccer.com/match/willem-ii/vvv/202011816,2020,7,eredivisie
Groningen,PEC Zwolle,2-0,https://www.besoccer.com/match/fc-groningen/fc-zwolle/202011817,2020,7,eredivisie
Vitesse,Fortuna Sittard,4-2,https://www.besoccer.com/match/vitesse/fortuna-sittard/202011818,2020,7,eredivisie
Heerenveen,Utrecht,1-1,https://www.besoccer.com/match/heerenveen/fc-utrecht/202011821,2020,7,eredivisie
Emmen,Feyenoord,3-3,https://www.besoccer.com/match/emmen/feyenoord/202011822,2020,7,eredivisie
ADO Den Haag,AZ Alkmaar,0-1,https://www.besoccer.com/match/ado-den-haag/az/202011819,2020,7,eredivisie
PSV,Ajax,1-1,https://www.besoccer.com/match/psv/ajax/202011820,2020,7,eredivisie
Emmen,ADO Den Haag,3-0,https://www.besoccer.com/match/emmen/ado-den-haag/202011831,2020,8,eredivisie
VVV Venlo,Heerenveen,0-3,https://www.besoccer.com/match/vvv/heerenveen/202011823,2020,8,eredivisie
Ajax,Groningen,2-0,https://www.besoccer.com/match/ajax/fc-groningen/202011826,2020,8,eredivisie
Fortuna Sittard,Sparta Rotterdam,0-0,https://www.besoccer.com/match/fortuna-sittard/sparta-rotterdam/202011827,2020,8,eredivisie
RKC Waalwijk,Vitesse,1-2,https://www.besoccer.com/match/rkc-waalwijk/vitesse/202011829,2020,8,eredivisie
PEC Zwolle,PSV,0-4,https://www.besoccer.com/match/fc-zwolle/psv/202011825,2020,8,eredivisie
Utrecht,Willem II,2-0,https://www.besoccer.com/match/fc-utrecht/willem-ii/202011830,2020,8,eredivisie
AZ Alkmaar,Heracles,2-0,https://www.besoccer.com/match/az/heracles/202011824,2020,8,eredivisie
Feyenoord,Twente 1965,5-1,https://www.besoccer.com/match/feyenoord/fc-twente-1965/202011828,2020,8,eredivisie
Groningen,RKC Waalwijk,3-0,https://www.besoccer.com/match/fc-groningen/rkc-waalwijk/202011832,2020,9,eredivisie
Heracles,Emmen,2-0,https://www.besoccer.com/match/heracles/emmen/202011833,2020,9,eredivisie
Sparta Rotterdam,Twente 1965,2-1,https://www.besoccer.com/match/sparta-rotterdam/fc-twente-1965/202011834,2020,9,eredivisie
Vitesse,Utrecht,2-1,https://www.besoccer.com/match/vitesse/fc-utrecht/202011839,2020,9,eredivisie
Heerenveen,PEC Zwolle,1-0,https://www.besoccer.com/match/heerenveen/fc-zwolle/202011836,2020,9,eredivisie
ADO Den Haag,Ajax,0-2,https://www.besoccer.com/match/ado-den-haag/ajax/202011837,2020,9,eredivisie
Fortuna Sittard,Feyenoord,4-2,https://www.besoccer.com/match/fortuna-sittard/feyenoord/202011838,2020,9,eredivisie
PSV,VVV Venlo,4-1,https://www.besoccer.com/match/psv/vvv/202011835,2020,9,eredivisie
Willem II,AZ Alkmaar,1-1,https://www.besoccer.com/match/willem-ii/az/202011840,2020,9,eredivisie
AZ Alkmaar,Heerenveen,2-4,https://www.besoccer.com/match/az/heerenveen/202011842,2020,10,eredivisie
RKC Waalwijk,Ajax,1-2,https://www.besoccer.com/match/rkc-waalwijk/ajax/202011844,2020,10,eredivisie
Twente 1965,Willem II,0-1,https://www.besoccer.com/match/fc-twente-1965/willem-ii/202011845,2020,10,eredivisie
Utrecht,PSV,3-0,https://www.besoccer.com/match/fc-utrecht/psv/202011841,2020,10,eredivisie
VVV Venlo,Vitesse,0-4,https://www.besoccer.com/match/vvv/vitesse/202011843,2020,10,eredivisie
PEC Zwolle,ADO Den Haag,3-1,https://www.besoccer.com/match/fc-zwolle/ado-den-haag/202011847,2020,10,eredivisie
Emmen,Fortuna Sittard,2-1,https://www.besoccer.com/match/emmen/fortuna-sittard/202011848,2020,10,eredivisie
Groningen,Sparta Rotterdam,2-0,https://www.besoccer.com/match/fc-groningen/sparta-rotterdam/202011849,2020,10,eredivisie
Feyenoord,Heracles,1-1,https://www.besoccer.com/match/feyenoord/heracles/202011846,2020,10,eredivisie
Twente 1965,Emmen,4-1,https://www.besoccer.com/match/fc-twente-1965/emmen/202011850,2020,11,eredivisie
Willem II,RKC Waalwijk,2-1,https://www.besoccer.com/match/willem-ii/rkc-waalwijk/202011851,2020,11,eredivisie
Vitesse,ADO Den Haag,0-2,https://www.besoccer.com/match/vitesse/ado-den-haag/202011852,2020,11,eredivisie
Fortuna Sittard,VVV Venlo,4-1,https://www.besoccer.com/match/fortuna-sittard/vvv/202011853,2020,11,eredivisie
Heracles,PEC Zwolle,4-0,https://www.besoccer.com/match/heracles/fc-zwolle/202011854,2020,11,eredivisie
Heerenveen,Groningen,1-1,https://www.besoccer.com/match/heerenveen/fc-groningen/202011855,2020,11,eredivisie
Sparta Rotterdam,Utrecht,1-2,https://www.besoccer.com/match/sparta-rotterdam/fc-utrecht/202011856,2020,11,eredivisie
PSV,AZ Alkmaar,0-4,https://www.besoccer.com/match/psv/az/202011857,2020,11,eredivisie
Ajax,Feyenoord,4-0,https://www.besoccer.com/match/ajax/feyenoord/202011858,2020,11,eredivisie
PEC Zwolle,Ajax,2-4,https://www.besoccer.com/match/fc-zwolle/ajax/202011863,2020,12,eredivisie
RKC Waalwijk,Heracles,2-0,https://www.besoccer.com/match/rkc-waalwijk/heracles/202011860,2020,12,eredivisie
Sparta Rotterdam,PSV,2-2,https://www.besoccer.com/match/sparta-rotterdam/psv/202011859,2020,12,eredivisie
AZ Alkmaar,Twente 1965,3-0,https://www.besoccer.com/match/az/fc-twente-1965/202011862,2020,12,eredivisie
Emmen,Vitesse,2-1,https://www.besoccer.com/match/emmen/vitesse/202011864,2020,12,eredivisie
Utrecht,Fortuna Sittard,6-0,https://www.besoccer.com/match/fc-utrecht/fortuna-sittard/202011861,2020,12,eredivisie
VVV Venlo,Feyenoord,0-3,https://www.besoccer.com/match/vvv/feyenoord/202011865,2020,12,eredivisie
Groningen,Willem II,2-0,https://www.besoccer.com/match/fc-groningen/willem-ii/202011867,2020,12,eredivisie
ADO Den Haag,Heerenveen,1-1,https://www.besoccer.com/match/ado-den-haag/heerenveen/202011866,2020,12,eredivisie
Vitesse,Groningen,1-2,https://www.besoccer.com/match/vitesse/fc-groningen/202011868,2020,13,eredivisie
Heerenveen,Sparta Rotterdam,2-1,https://www.besoccer.com/match/heerenveen/sparta-rotterdam/202011869,2020,13,eredivisie
Fortuna Sittard,ADO Den Haag,1-0,https://www.besoccer.com/match/fortuna-sittard/ado-den-haag/202011871,2020,13,eredivisie
Heracles,VVV Venlo,6-1,https://www.besoccer.com/match/heracles/vvv/202011872,2020,13,eredivisie
Ajax,Utrecht,4-0,https://www.besoccer.com/match/ajax/fc-utrecht/202011875,2020,13,eredivisie
Willem II,PSV,2-1,https://www.besoccer.com/match/willem-ii/psv/202011870,2020,13,eredivisie
Twente 1965,PEC Zwolle,2-1,https://www.besoccer.com/match/fc-twente-1965/fc-zwolle/202011873,2020,13,eredivisie
Feyenoord,RKC Waalwijk,3-2,https://www.besoccer.com/match/feyenoord/rkc-waalwijk/202011876,2020,13,eredivisie
AZ Alkmaar,Emmen,3-0,https://www.besoccer.com/match/az/emmen/202011874,2020,13,eredivisie
Utrecht,AZ Alkmaar,0-3,https://www.besoccer.com/match/fc-utrecht/az/202011877,2020,14,eredivisie
PEC Zwolle,Fortuna Sittard,3-1,https://www.besoccer.com/match/fc-zwolle/fortuna-sittard/202011879,2020,14,eredivisie
Ajax,Heracles,4-1,https://www.besoccer.com/match/ajax/heracles/202011880,2020,14,eredivisie
ADO Den Haag,Willem II,3-3,https://www.besoccer.com/match/ado-den-haag/willem-ii/202011881,2020,14,eredivisie
Groningen,Feyenoord,1-1,https://www.besoccer.com/match/fc-groningen/feyenoord/202011882,2020,14,eredivisie
PSV,Heerenveen,2-1,https://www.besoccer.com/match/psv/heerenveen/202011878,2020,14,eredivisie
