Home_Team,Away_Team,Result,Link,Season,Round,League
Girondins Bordeaux,Nantes,0-0,https://www.besoccer.com/match/bordeaux/nantes/20211314,2021,1,ligue_1
Dijon FCO,Angers SCO,0-1,https://www.besoccer.com/match/dijon-fco/angers-sco/20211315,2021,1,ligue_1
Lille,Stade Rennais,1-1,https://www.besoccer.com/match/lillestrom/stade-rennes/20211316,2021,1,ligue_1
Monaco,Stade de Reims,2-2,https://www.besoccer.com/match/monaco/stade-reims/20211319,2021,1,ligue_1
Lorient,Strasbourg,3-1,https://www.besoccer.com/match/lorient/strasbourg/20211317,2021,1,ligue_1
Nîmes,Stade Brestois,4-0,https://www.besoccer.com/match/nimes-olympique/stade-brestois-29/20211322,2021,1,ligue_1
Nice,Lens,2-1,https://www.besoccer.com/match/nice/lens/20211321,2021,1,ligue_1
Montpellier,Olympique Lyonnais,2-1,https://www.besoccer.com/match/montpellier-hsc/olympique-lyonnais/20211320,2021,1,ligue_1
PSG,Metz,1-0,https://www.besoccer.com/match/paris-saint-germain-fc/metz/20211323,2021,1,ligue_1
Olympique Marseille,Saint-Étienne,0-2,https://www.besoccer.com/match/olympique-marsella/saint-etienne/20211318,2021,1,ligue_1
Olympique Lyonnais,Dijon FCO,4-1,https://www.besoccer.com/match/olympique-lyonnais/dijon-fco/20211327,2021,2,ligue_1
Stade Rennais,Montpellier,2-1,https://www.besoccer.com/match/stade-rennes/montpellier-hsc/20211331,2021,2,ligue_1
Strasbourg,Nice,0-2,https://www.besoccer.com/match/strasbourg/nice/20211333,2021,2,ligue_1
Stade de Reims,Lille,0-1,https://www.besoccer.com/match/stade-reims/lillestrom/20211330,2021,2,ligue_1
Angers SCO,Girondins Bordeaux,0-2,https://www.besoccer.com/match/angers-sco/bordeaux/20211324,2021,2,ligue_1
Metz,Monaco,0-1,https://www.besoccer.com/match/metz/monaco/20211328,2021,2,ligue_1
Nantes,Nîmes,2-1,https://www.besoccer.com/match/nantes/nimes-olympique/20211329,2021,2,ligue_1
Saint-Étienne,Lorient,2-0,https://www.besoccer.com/match/saint-etienne/lorient/20211332,2021,2,ligue_1
Stade Brestois,Olympique Marseille,2-3,https://www.besoccer.com/match/stade-brestois-29/olympique-marsella/20211325,2021,2,ligue_1
Lens,PSG,1-0,https://www.besoccer.com/match/lens/paris-saint-germain-fc/20211326,2021,2,ligue_1
Girondins Bordeaux,Olympique Lyonnais,0-0,https://www.besoccer.com/match/bordeaux/olympique-lyonnais/20211335,2021,3,ligue_1
Montpellier,Nice,3-1,https://www.besoccer.com/match/montpellier-hsc/nice/20211340,2021,3,ligue_1
Saint-Étienne,Strasbourg,2-0,https://www.besoccer.com/match/saint-etienne/strasbourg/20211343,2021,3,ligue_1
Lille,Metz,1-0,https://www.besoccer.com/match/lillestrom/metz/20211337,2021,3,ligue_1
Angers SCO,Stade de Reims,1-0,https://www.besoccer.com/match/angers-sco/stade-reims/20211334,2021,3,ligue_1
Dijon FCO,Stade Brestois,0-2,https://www.besoccer.com/match/dijon-fco/stade-brestois-29/20211336,2021,3,ligue_1
Lorient,Lens,2-3,https://www.besoccer.com/match/lorient/lens/20211338,2021,3,ligue_1
Nîmes,Stade Rennais,2-4,https://www.besoccer.com/match/nimes-olympique/stade-rennes/20211341,2021,3,ligue_1
Monaco,Nantes,2-1,https://www.besoccer.com/match/monaco/nantes/20211339,2021,3,ligue_1
PSG,Olympique Marseille,0-1,https://www.besoccer.com/match/paris-saint-germain-fc/olympique-marsella/20211342,2021,3,ligue_1
Olympique Lyonnais,Nîmes,0-0,https://www.besoccer.com/match/olympique-lyonnais/nimes-olympique/20211346,2021,4,ligue_1
Lens,Girondins Bordeaux,2-1,https://www.besoccer.com/match/lens/bordeaux/20211345,2021,4,ligue_1
Stade Rennais,Monaco,2-1,https://www.besoccer.com/match/stade-rennes/monaco/20211352,2021,4,ligue_1
Nice,PSG,0-3,https://www.besoccer.com/match/nice/paris-saint-germain-fc/20211351,2021,4,ligue_1
Stade Brestois,Lorient,3-2,https://www.besoccer.com/match/stade-brestois-29/lorient/20211344,2021,4,ligue_1
Metz,Stade de Reims,2-1,https://www.besoccer.com/match/metz/stade-reims/20211348,2021,4,ligue_1
Montpellier,Angers SCO,4-1,https://www.besoccer.com/match/montpellier-hsc/angers-sco/20211349,2021,4,ligue_1
Strasbourg,Dijon FCO,1-0,https://www.besoccer.com/match/strasbourg/dijon-fco/20211353,2021,4,ligue_1
Nantes,Saint-Étienne,2-2,https://www.besoccer.com/match/nantes/saint-etienne/20211350,2021,4,ligue_1
Olympique Marseille,Lille,1-1,https://www.besoccer.com/match/olympique-marsella/lillestrom/20211347,2021,4,ligue_1
Lille,Nantes,2-0,https://www.besoccer.com/match/lillestrom/nantes/20211357,2021,5,ligue_1
