Home_Team,Away_Team,Result,Link,Season,Round,League
Arsenal,West Bromwich Albion,1-0,https://www.besoccer.com/match/arsenal/west-bromwich/20096461,2009,1,premier_league
Bolton Wanderers,Stoke City,3-1,https://www.besoccer.com/match/bolton-wanderers-fc/stoke-city/20096462,2009,1,premier_league
Everton,Blackburn Rovers,2-3,https://www.besoccer.com/match/everton-fc/blackburn-rovers-fc/20096463,2009,1,premier_league
Hull City,Fulham,2-1,https://www.besoccer.com/match/hull-city/fulham/20096464,2009,1,premier_league
Middlesbrough,Tottenham Hotspur,2-1,https://www.besoccer.com/match/middlesbrough-fc/tottenham-hotspur-fc/20096465,2009,1,premier_league
West Ham,Wigan Athletic,2-1,https://www.besoccer.com/match/west-ham-united/wigan-athletic/20096466,2009,1,premier_league
Sunderland,Liverpool,0-1,https://www.besoccer.com/match/sunderland-afc/liverpool/20096467,2009,1,premier_league
Chelsea,Portsmouth,4-0,https://www.besoccer.com/match/chelsea-fc/portsmouth/20096468,2009,1,premier_league
Aston Villa,Man. City,4-2,https://www.besoccer.com/match/aston-villa-fc/manchester-city-fc/20096469,2009,1,premier_league
Man. Utd,Newcastle,1-1,https://www.besoccer.com/match/manchester-united-fc/newcastle-united-fc/20096470,2009,1,premier_league
Blackburn Rovers,Hull City,1-1,https://www.besoccer.com/match/blackburn-rovers-fc/hull-city/20096471,2009,2,premier_league
Liverpool,Middlesbrough,2-1,https://www.besoccer.com/match/liverpool/middlesbrough-fc/20096472,2009,2,premier_league
Newcastle,Bolton Wanderers,1-0,https://www.besoccer.com/match/newcastle-united-fc/bolton-wanderers-fc/20096473,2009,2,premier_league
Stoke City,Aston Villa,3-2,https://www.besoccer.com/match/stoke-city/aston-villa-fc/20096474,2009,2,premier_league
Tottenham Hotspur,Sunderland,1-2,https://www.besoccer.com/match/tottenham-hotspur-fc/sunderland-afc/20096475,2009,2,premier_league
West Bromwich Albion,Everton,1-2,https://www.besoccer.com/match/west-bromwich/everton-fc/20096476,2009,2,premier_league
Fulham,Arsenal,1-0,https://www.besoccer.com/match/fulham/arsenal/20096477,2009,2,premier_league
Wigan Athletic,Chelsea,0-1,https://www.besoccer.com/match/wigan-athletic/chelsea-fc/20096478,2009,2,premier_league
Man. City,West Ham,3-0,https://www.besoccer.com/match/manchester-city-fc/west-ham-united/20096479,2009,2,premier_league
Portsmouth,Man. Utd,0-1,https://www.besoccer.com/match/portsmouth/manchester-united-fc/20096480,2009,2,premier_league
Bolton Wanderers,West Bromwich Albion,0-0,https://www.besoccer.com/match/bolton-wanderers-fc/west-bromwich/20096481,2009,3,premier_league
Everton,Portsmouth,0-3,https://www.besoccer.com/match/everton-fc/portsmouth/20096482,2009,3,premier_league
Hull City,Wigan Athletic,0-5,https://www.besoccer.com/match/hull-city/wigan-athletic/20096483,2009,3,premier_league
Middlesbrough,Stoke City,2-1,https://www.besoccer.com/match/middlesbrough-fc/stoke-city/20096485,2009,3,premier_league
West Ham,Blackburn Rovers,4-1,https://www.besoccer.com/match/west-ham-united/blackburn-rovers-fc/20096486,2009,3,premier_league
Arsenal,Newcastle,3-0,https://www.besoccer.com/match/arsenal/newcastle-united-fc/20096487,2009,3,premier_league
Chelsea,Tottenham Hotspur,1-1,https://www.besoccer.com/match/chelsea-fc/tottenham-hotspur-fc/20096488,2009,3,premier_league
Sunderland,Man. City,0-3,https://www.besoccer.com/match/sunderland-afc/manchester-city-fc/20096489,2009,3,premier_league
Aston Villa,Liverpool,0-0,https://www.besoccer.com/match/aston-villa-fc/liverpool/20096490,2009,3,premier_league
Man. Utd,Fulham,3-0,https://www.besoccer.com/match/manchester-united-fc/fulham/20096484,2009,3,premier_league
Liverpool,Man. Utd,2-1,https://www.besoccer.com/match/liverpool/manchester-united-fc/20096493,2009,4,premier_league
Blackburn Rovers,Arsenal,0-4,https://www.besoccer.com/match/blackburn-rovers-fc/arsenal/20096491,2009,4,premier_league
Fulham,Bolton Wanderers,2-1,https://www.besoccer.com/match/fulham/bolton-wanderers-fc/20096492,2009,4,premier_league
Newcastle,Hull City,1-2,https://www.besoccer.com/match/newcastle-united-fc/hull-city/20096495,2009,4,premier_league
Portsmouth,Middlesbrough,2-1,https://www.besoccer.com/match/portsmouth/middlesbrough-fc/20096496,2009,4,premier_league
West Bromwich Albion,West Ham,3-2,https://www.besoccer.com/match/west-bromwich/west-ham-united/20096499,2009,4,premier_league
Wigan Athletic,Sunderland,1-1,https://www.besoccer.com/match/wigan-athletic/sunderland-afc/20096500,2009,4,premier_league
Man. City,Chelsea,1-3,https://www.besoccer.com/match/manchester-city-fc/chelsea-fc/20096494,2009,4,premier_league
Stoke City,Everton,2-3,https://www.besoccer.com/match/stoke-city/everton-fc/20096497,2009,4,premier_league
Tottenham Hotspur,Aston Villa,1-2,https://www.besoccer.com/match/tottenham-hotspur-fc/aston-villa-fc/20096498,2009,4,premier_league
Sunderland,Middlesbrough,2-0,https://www.besoccer.com/match/sunderland-afc/middlesbrough-fc/20096507,2009,5,premier_league
Blackburn Rovers,Fulham,1-0,https://www.besoccer.com/match/blackburn-rovers-fc/fulham/20096501,2009,5,premier_league
Liverpool,Stoke City,0-0,https://www.besoccer.com/match/liverpool/stoke-city/20096505,2009,5,premier_league
West Ham,Newcastle,3-1,https://www.besoccer.com/match/west-ham-united/newcastle-united-fc/20096510,2009,5,premier_league
Bolton Wanderers,Arsenal,1-3,https://www.besoccer.com/match/bolton-wanderers-fc/arsenal/20096502,2009,5,premier_league
West Bromwich Albion,Aston Villa,1-2,https://www.besoccer.com/match/west-bromwich/aston-villa-fc/20096509,2009,5,premier_league
Chelsea,Man. Utd,1-1,https://www.besoccer.com/match/chelsea-fc/manchester-united-fc/20096503,2009,5,premier_league
Hull City,Everton,2-2,https://www.besoccer.com/match/hull-city/everton-fc/20096504,2009,5,premier_league
Man. City,Portsmouth,6-0,https://www.besoccer.com/match/manchester-city-fc/portsmouth/20096506,2009,5,premier_league
Tottenham Hotspur,Wigan Athletic,0-0,https://www.besoccer.com/match/tottenham-hotspur-fc/wigan-athletic/20096508,2009,5,premier_league
Everton,Liverpool,0-2,https://www.besoccer.com/match/everton-fc/liverpool/20096513,2009,6,premier_league
Aston Villa,Sunderland,2-1,https://www.besoccer.com/match/aston-villa-fc/sunderland-afc/20096512,2009,6,premier_league
Fulham,West Ham,1-2,https://www.besoccer.com/match/fulham/west-ham-united/20096514,2009,6,premier_league
Man. Utd,Bolton Wanderers,2-0,https://www.besoccer.com/match/manchester-united-fc/bolton-wanderers-fc/20096515,2009,6,premier_league
Middlesbrough,West Bromwich Albion,0-1,https://www.besoccer.com/match/middlesbrough-fc/west-bromwich/20096516,2009,6,premier_league
Newcastle,Blackburn Rovers,1-2,https://www.besoccer.com/match/newcastle-united-fc/blackburn-rovers-fc/20096517,2009,6,premier_league
Stoke City,Chelsea,0-2,https://www.besoccer.com/match/stoke-city/chelsea-fc/20096519,2009,6,premier_league
Arsenal,Hull City,1-2,https://www.besoccer.com/match/arsenal/hull-city/20096511,2009,6,premier_league
Portsmouth,Tottenham Hotspur,2-0,https://www.besoccer.com/match/portsmouth/tottenham-hotspur-fc/20096518,2009,6,premier_league
Wigan Athletic,Man. City,2-1,https://www.besoccer.com/match/wigan-athletic/manchester-city-fc/20096520,2009,6,premier_league
Sunderland,Arsenal,1-1,https://www.besoccer.com/match/sunderland-afc/arsenal/20096526,2009,7,premier_league
