Home_Team,Away_Team,Result,Link,Season,Round,League
Portimonense,Belenenses,0-0,https://www.besoccer.com/match/portimonense/belenenses/202051610,2020,1,primeira_liga
CD Santa Clara,Famalicão,0-2,https://www.besoccer.com/match/santa-clara/famalicao/202051601,2020,1,primeira_liga
Gil Vicente,Porto,2-1,https://www.besoccer.com/match/gil-vicente/fc-porto/202051602,2020,1,primeira_liga
Benfica,Paços de Ferreira,5-0,https://www.besoccer.com/match/benfica/pacos-ferreira/202051608,2020,1,primeira_liga
Boavista,Desportivo Aves,2-1,https://www.besoccer.com/match/boavista/desportivo-aves/202051609,2020,1,primeira_liga
Marítimo,Sporting CP,1-1,https://www.besoccer.com/match/maritimo/sporting-lisbon/202051606,2020,1,primeira_liga
Sporting Braga,Moreirense,3-1,https://www.besoccer.com/match/sporting-braga/moreirense-fc/202051604,2020,1,primeira_liga
Vitória Setúbal,Tondela,0-0,https://www.besoccer.com/match/vitoria-setubal/tondela/202051607,2020,1,primeira_liga
Rio Ave,Vitória Guimarães,1-1,https://www.besoccer.com/match/rio-ave/vitoria-guimaraes/202051612,2020,1,primeira_liga
Famalicão,Rio Ave,1-0,https://www.besoccer.com/match/famalicao/rio-ave/202051622,2020,2,primeira_liga
Moreirense,Gil Vicente,3-0,https://www.besoccer.com/match/moreirense-fc/gil-vicente/202051628,2020,2,primeira_liga
Belenenses,Benfica,0-2,https://www.besoccer.com/match/belenenses/benfica/202051625,2020,2,primeira_liga
Porto,Vitória Setúbal,4-0,https://www.besoccer.com/match/fc-porto/vitoria-setubal/202051627,2020,2,primeira_liga
Paços de Ferreira,CD Santa Clara,0-1,https://www.besoccer.com/match/pacos-ferreira/santa-clara/202051623,2020,2,primeira_liga
Desportivo Aves,Marítimo,3-1,https://www.besoccer.com/match/desportivo-aves/maritimo/202051624,2020,2,primeira_liga
Vitória Guimarães,Boavista,1-1,https://www.besoccer.com/match/vitoria-guimaraes/boavista/202051629,2020,2,primeira_liga
Sporting CP,Sporting Braga,2-1,https://www.besoccer.com/match/sporting-lisbon/sporting-braga/202051630,2020,2,primeira_liga
Tondela,Portimonense,1-2,https://www.besoccer.com/match/tondela/portimonense/202051631,2020,2,primeira_liga
Vitória Setúbal,Moreirense,0-0,https://www.besoccer.com/match/vitoria-setubal/moreirense-fc/202051641,2020,3,primeira_liga
Rio Ave,Desportivo Aves,5-1,https://www.besoccer.com/match/rio-ave/desportivo-aves/202051640,2020,3,primeira_liga
Benfica,Porto,0-2,https://www.besoccer.com/match/benfica/fc-porto/202051635,2020,3,primeira_liga
Boavista,Paços de Ferreira,1-1,https://www.besoccer.com/match/boavista/pacos-ferreira/202051718,2020,3,primeira_liga
CD Santa Clara,Belenenses,0-0,https://www.besoccer.com/match/santa-clara/belenenses/202051633,2020,3,primeira_liga
Marítimo,Tondela,2-3,https://www.besoccer.com/match/maritimo/tondela/202051636,2020,3,primeira_liga
Portimonense,Sporting CP,1-3,https://www.besoccer.com/match/portimonense/sporting-lisbon/202051637,2020,3,primeira_liga
Gil Vicente,Sporting Braga,1-1,https://www.besoccer.com/match/gil-vicente/sporting-braga/202051634,2020,3,primeira_liga
Vitória Guimarães,Famalicão,1-1,https://www.besoccer.com/match/vitoria-guimaraes/famalicao/202051638,2020,3,primeira_liga
Moreirense,Portimonense,1-0,https://www.besoccer.com/match/moreirense-fc/portimonense/202051645,2020,4,primeira_liga
Belenenses,Boavista,0-1,https://www.besoccer.com/match/belenenses/boavista/202051644,2020,4,primeira_liga
Paços de Ferreira,Marítimo,0-1,https://www.besoccer.com/match/pacos-ferreira/maritimo/202051643,2020,4,primeira_liga
Desportivo Aves,Famalicão,2-3,https://www.besoccer.com/match/desportivo-aves/famalicao/202051646,2020,4,primeira_liga
Sporting CP,Rio Ave,2-3,https://www.besoccer.com/match/sporting-lisbon/rio-ave/202051650,2020,4,primeira_liga
Gil Vicente,Vitória Setúbal,0-0,https://www.besoccer.com/match/gil-vicente/vitoria-setubal/202051642,2020,4,primeira_liga
Tondela,CD Santa Clara,0-0,https://www.besoccer.com/match/tondela/santa-clara/202051648,2020,4,primeira_liga
Porto,Vitória Guimarães,3-0,https://www.besoccer.com/match/fc-porto/vitoria-guimaraes/202051649,2020,4,primeira_liga
Sporting Braga,Benfica,0-4,https://www.besoccer.com/match/sporting-braga/benfica/202051647,2020,4,primeira_liga
Vitória Setúbal,Sporting Braga,1-0,https://www.besoccer.com/match/vitoria-setubal/sporting-braga/202051659,2020,5,primeira_liga
Famalicão,Paços de Ferreira,4-2,https://www.besoccer.com/match/famalicao/pacos-ferreira/202051652,2020,5,primeira_liga
Benfica,Gil Vicente,2-0,https://www.besoccer.com/match/benfica/gil-vicente/202051655,2020,5,primeira_liga
Vitória Guimarães,Desportivo Aves,5-1,https://www.besoccer.com/match/vitoria-guimaraes/desportivo-aves/202051656,2020,5,primeira_liga
CD Santa Clara,Moreirense,2-0,https://www.besoccer.com/match/santa-clara/moreirense-fc/202051651,2020,5,primeira_liga
Rio Ave,Tondela,2-4,https://www.besoccer.com/match/rio-ave/tondela/202051654,2020,5,primeira_liga
Marítimo,Belenenses,1-3,https://www.besoccer.com/match/maritimo/belenenses/202051658,2020,5,primeira_liga
Portimonense,Porto,2-3,https://www.besoccer.com/match/portimonense/fc-porto/202051657,2020,5,primeira_liga
Boavista,Sporting CP,1-1,https://www.besoccer.com/match/boavista/sporting-lisbon/202051653,2020,5,primeira_liga
Paços de Ferreira,Desportivo Aves,2-1,https://www.besoccer.com/match/pacos-ferreira/desportivo-aves/202051662,2020,6,primeira_liga
Belenenses,Rio Ave,0-2,https://www.besoccer.com/match/belenenses/rio-ave/202051663,2020,6,primeira_liga
Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/202051666,2020,6,primeira_liga
Gil Vicente,Boavista,0-0,https://www.besoccer.com/match/gil-vicente/boavista/202051661,2020,6,primeira_liga
Tondela,Vitória Guimarães,1-3,https://www.besoccer.com/match/tondela/vitoria-guimaraes/202051668,2020,6,primeira_liga
Vitória Setúbal,Portimonense,0-0,https://www.besoccer.com/match/vitoria-setubal/portimonense/202051669,2020,6,primeira_liga
Porto,CD Santa Clara,2-0,https://www.besoccer.com/match/fc-porto/santa-clara/202051667,2020,6,primeira_liga
Sporting Braga,Marítimo,2-2,https://www.besoccer.com/match/sporting-braga/maritimo/202051664,2020,6,primeira_liga
Sporting CP,Famalicão,1-2,https://www.besoccer.com/match/sporting-lisbon/famalicao/202051665,2020,6,primeira_liga
Boavista,Tondela,0-0,https://www.besoccer.com/match/boavista/tondela/202051674,2020,7,primeira_liga
Marítimo,Moreirense,2-1,https://www.besoccer.com/match/maritimo/moreirense-fc/202051675,2020,7,primeira_liga
Benfica,Vitória Setúbal,1-0,https://www.besoccer.com/match/benfica/vitoria-setubal/202051673,2020,7,primeira_liga
Famalicão,Belenenses,3-1,https://www.besoccer.com/match/famalicao/belenenses/202051671,2020,7,primeira_liga
CD Santa Clara,Gil Vicente,1-0,https://www.besoccer.com/match/santa-clara/gil-vicente/202051670,2020,7,primeira_liga
Vitória Guimarães,Paços de Ferreira,1-0,https://www.besoccer.com/match/vitoria-guimaraes/pacos-ferreira/202051676,2020,7,primeira_liga
Portimonense,Sporting Braga,0-1,https://www.besoccer.com/match/portimonense/sporting-braga/202051677,2020,7,primeira_liga
Rio Ave,Porto,0-1,https://www.besoccer.com/match/rio-ave/fc-porto/202051678,2020,7,primeira_liga
Desportivo Aves,Sporting CP,0-1,https://www.besoccer.com/match/desportivo-aves/sporting-lisbon/202051672,2020,7,primeira_liga
Paços de Ferreira,Rio Ave,0-0,https://www.besoccer.com/match/pacos-ferreira/rio-ave/202051680,2020,8,primeira_liga
Gil Vicente,Portimonense,1-1,https://www.besoccer.com/match/gil-vicente/portimonense/202051679,2020,8,primeira_liga
Belenenses,Desportivo Aves,3-2,https://www.besoccer.com/match/belenenses/desportivo-aves/202051684,2020,8,primeira_liga
Vitória Setúbal,Marítimo,0-0,https://www.besoccer.com/match/vitoria-setubal/maritimo/202051689,2020,8,primeira_liga
Moreirense,Boavista,1-1,https://www.besoccer.com/match/moreirense-fc/boavista/202051687,2020,8,primeira_liga
Tondela,Benfica,0-1,https://www.besoccer.com/match/tondela/benfica/202051685,2020,8,primeira_liga
Porto,Famalicão,3-0,https://www.besoccer.com/match/fc-porto/famalicao/202051682,2020,8,primeira_liga
Sporting CP,Vitória Guimarães,3-1,https://www.besoccer.com/match/sporting-lisbon/vitoria-guimaraes/202051688,2020,8,primeira_liga
Sporting Braga,CD Santa Clara,2-0,https://www.besoccer.com/match/sporting-braga/santa-clara/202051681,2020,8,primeira_liga
Desportivo Aves,Tondela,0-1,https://www.besoccer.com/match/desportivo-aves/tondela/202051693,2020,9,primeira_liga
Rio Ave,Moreirense,1-1,https://www.besoccer.com/match/rio-ave/moreirense-fc/202051698,2020,9,primeira_liga
Marítimo,Porto,1-1,https://www.besoccer.com/match/maritimo/fc-porto/202051696,2020,9,primeira_liga
Vitória Guimarães,Belenenses,5-0,https://www.besoccer.com/match/vitoria-guimaraes/belenenses/202051697,2020,9,primeira_liga
Benfica,Portimonense,4-0,https://www.besoccer.com/match/benfica/portimonense/202051694,2020,9,primeira_liga
Famalicão,Gil Vicente,2-1,https://www.besoccer.com/match/famalicao/gil-vicente/202051691,2020,9,primeira_liga
Paços de Ferreira,Sporting CP,1-2,https://www.besoccer.com/match/pacos-ferreira/sporting-lisbon/202051692,2020,9,primeira_liga
CD Santa Clara,Vitória Setúbal,1-1,https://www.besoccer.com/match/santa-clara/vitoria-setubal/202051690,2020,9,primeira_liga
Boavista,Sporting Braga,2-0,https://www.besoccer.com/match/boavista/sporting-braga/202051695,2020,9,primeira_liga
Benfica,Rio Ave,2-0,https://www.besoccer.com/match/benfica/rio-ave/202051700,2020,10,primeira_liga
Moreirense,Vitória Guimarães,1-1,https://www.besoccer.com/match/moreirense-fc/vitoria-guimaraes/202051706,2020,10,primeira_liga
Gil Vicente,Marítimo,2-0,https://www.besoccer.com/match/gil-vicente/maritimo/202051699,2020,10,primeira_liga
Tondela,Sporting CP,1-0,https://www.besoccer.com/match/tondela/sporting-lisbon/202051707,2020,10,primeira_liga
Porto,Desportivo Aves,1-0,https://www.besoccer.com/match/fc-porto/desportivo-aves/202051703,2020,10,primeira_liga
Sporting Braga,Famalicão,2-2,https://www.besoccer.com/match/sporting-braga/famalicao/202051701,2020,10,primeira_liga
Belenenses,Paços de Ferreira,1-0,https://www.besoccer.com/match/belenenses/pacos-ferreira/202051702,2020,10,primeira_liga
Vitória Setúbal,Boavista,1-0,https://www.besoccer.com/match/vitoria-setubal/boavista/202051704,2020,10,primeira_liga
Portimonense,CD Santa Clara,1-1,https://www.besoccer.com/match/portimonense/santa-clara/202051705,2020,10,primeira_liga
Desportivo Aves,Gil Vicente,1-2,https://www.besoccer.com/match/desportivo-aves/gil-vicente/202051715,2020,11,primeira_liga
Rio Ave,Vitória Setúbal,1-0,https://www.besoccer.com/match/rio-ave/vitoria-setubal/202051714,2020,11,primeira_liga
CD Santa Clara,Benfica,1-2,https://www.besoccer.com/match/santa-clara/benfica/202051708,2020,11,primeira_liga
Famalicão,Moreirense,3-3,https://www.besoccer.com/match/famalicao/moreirense-fc/202051709,2020,11,primeira_liga
Paços de Ferreira,Tondela,1-0,https://www.besoccer.com/match/pacos-ferreira/tondela/202051710,2020,11,primeira_liga
Marítimo,Portimonense,1-1,https://www.besoccer.com/match/maritimo/portimonense/202051712,2020,11,primeira_liga
Sporting CP,Belenenses,2-0,https://www.besoccer.com/match/sporting-lisbon/belenenses/202051716,2020,11,primeira_liga
Vitória Guimarães,Sporting Braga,0-2,https://www.besoccer.com/match/vitoria-guimaraes/sporting-braga/202051717,2020,11,primeira_liga
Boavista,Porto,0-1,https://www.besoccer.com/match/boavista/fc-porto/202051711,2020,11,primeira_liga
CD Santa Clara,Boavista,1-2,https://www.besoccer.com/match/santa-clara/boavista/202051836,2020,12,primeira_liga
Moreirense,Desportivo Aves,3-2,https://www.besoccer.com/match/moreirense-fc/desportivo-aves/202051834,2020,12,primeira_liga
Benfica,Marítimo,4-0,https://www.besoccer.com/match/benfica/maritimo/202051830,2020,12,primeira_liga
