Home_Team,Away_Team,Result,Link,Season,Round,League
Athletic,Barcelona,1-0,https://www.besoccer.com/match/athletic-bilbao/barcelona/202046292,2020,1,primera_division
Celta,Real Madrid,1-3,https://www.besoccer.com/match/celta/real-madrid/202046281,2020,1,primera_division
Valencia,R. Sociedad,1-1,https://www.besoccer.com/match/valencia-cf/real-sociedad/202046288,2020,1,primera_division
Mallorca,Eibar,2-1,https://www.besoccer.com/match/mallorca/eibar/202046282,2020,1,primera_division
Leganés,Osasuna,0-1,https://www.besoccer.com/match/leganes/osasuna/202046290,2020,1,primera_division
Villarreal,Granada,4-4,https://www.besoccer.com/match/villarreal/granada/202046293,2020,1,primera_division
Alavés,Levante,1-0,https://www.besoccer.com/match/alaves/levante/202046287,2020,1,primera_division
Espanyol,Sevilla,0-2,https://www.besoccer.com/match/espanyol/sevilla/202046286,2020,1,primera_division
Real Betis,Real Valladolid,1-2,https://www.besoccer.com/match/betis/valladolid/202046289,2020,1,primera_division
Atlético,Getafe,1-0,https://www.besoccer.com/match/atletico-madrid/getafe/202046284,2020,1,primera_division
Granada,Sevilla,0-1,https://www.besoccer.com/match/granada/sevilla/202046321,2020,2,primera_division
Levante,Villarreal,2-1,https://www.besoccer.com/match/levante/villarreal/202046325,2020,2,primera_division
Osasuna,Eibar,0-0,https://www.besoccer.com/match/osasuna/eibar/202046328,2020,2,primera_division
Real Madrid,Real Valladolid,1-1,https://www.besoccer.com/match/real-madrid/valladolid/202046332,2020,2,primera_division
Celta,Valencia,1-0,https://www.besoccer.com/match/celta/valencia-cf/202046314,2020,2,primera_division
Getafe,Athletic,1-1,https://www.besoccer.com/match/getafe/athletic-bilbao/202046318,2020,2,primera_division
Alavés,Espanyol,0-0,https://www.besoccer.com/match/alaves/espanyol/202046309,2020,2,primera_division
Mallorca,R. Sociedad,0-1,https://www.besoccer.com/match/mallorca/real-sociedad/202046326,2020,2,primera_division
Leganés,Atlético,0-1,https://www.besoccer.com/match/leganes/atletico-madrid/202046323,2020,2,primera_division
Barcelona,Real Betis,5-2,https://www.besoccer.com/match/barcelona/betis/202046311,2020,2,primera_division
Sevilla,Celta,1-1,https://www.besoccer.com/match/sevilla/celta/202046320,2020,3,primera_division
Athletic,R. Sociedad,2-0,https://www.besoccer.com/match/athletic-bilbao/real-sociedad/202046295,2020,3,primera_division
Osasuna,Barcelona,2-2,https://www.besoccer.com/match/osasuna/barcelona/202046319,2020,3,primera_division
Getafe,Alavés,1-1,https://www.besoccer.com/match/getafe/alaves/202046316,2020,3,primera_division
Levante,Real Valladolid,2-0,https://www.besoccer.com/match/levante/valladolid/202046317,2020,3,primera_division
Real Betis,Leganés,2-1,https://www.besoccer.com/match/betis/leganes/202046313,2020,3,primera_division
Valencia,Mallorca,2-0,https://www.besoccer.com/match/valencia-cf/mallorca/202046322,2020,3,primera_division
Atlético,Eibar,3-2,https://www.besoccer.com/match/atletico-madrid/eibar/202046312,2020,3,primera_division
Espanyol,Granada,0-3,https://www.besoccer.com/match/espanyol/granada/202046315,2020,3,primera_division
Villarreal,Real Madrid,2-2,https://www.besoccer.com/match/villarreal/real-madrid/202046324,2020,3,primera_division
Mallorca,Athletic,0-0,https://www.besoccer.com/match/mallorca/athletic-bilbao/202046335,2020,4,primera_division
Real Madrid,Levante,3-2,https://www.besoccer.com/match/real-madrid/levante/202046337,2020,4,primera_division
Leganés,Villarreal,0-3,https://www.besoccer.com/match/leganes/villarreal/202046334,2020,4,primera_division
R. Sociedad,Atlético,2-0,https://www.besoccer.com/match/real-sociedad/atletico-madrid/202046339,2020,4,primera_division
Barcelona,Valencia,5-2,https://www.besoccer.com/match/barcelona/valencia-cf/202046329,2020,4,primera_division
Eibar,Espanyol,1-2,https://www.besoccer.com/match/eibar/espanyol/202046333,2020,4,primera_division
Alavés,Sevilla,0-1,https://www.besoccer.com/match/alaves/sevilla/202046327,2020,4,primera_division
Celta,Granada,0-2,https://www.besoccer.com/match/celta/granada/202046331,2020,4,primera_division
Real Valladolid,Osasuna,1-1,https://www.besoccer.com/match/valladolid/osasuna/202046341,2020,4,primera_division
Real Betis,Getafe,1-1,https://www.besoccer.com/match/betis/getafe/202046330,2020,4,primera_division
Osasuna,Real Betis,0-0,https://www.besoccer.com/match/osasuna/betis/202046345,2020,5,primera_division
Villarreal,Real Valladolid,2-0,https://www.besoccer.com/match/villarreal/valladolid/202046349,2020,5,primera_division
Levante,Eibar,0-0,https://www.besoccer.com/match/levante/eibar/202046344,2020,5,primera_division
Atlético,Celta,0-0,https://www.besoccer.com/match/atletico-madrid/celta/202046338,2020,5,primera_division
Granada,Barcelona,2-0,https://www.besoccer.com/match/granada/barcelona/202046343,2020,5,primera_division
Getafe,Mallorca,4-2,https://www.besoccer.com/match/getafe/mallorca/202046342,2020,5,primera_division
Espanyol,R. Sociedad,1-3,https://www.besoccer.com/match/espanyol/real-sociedad/202046340,2020,5,primera_division
Valencia,Leganés,1-1,https://www.besoccer.com/match/valencia-cf/leganes/202046347,2020,5,primera_division
Athletic,Alavés,2-0,https://www.besoccer.com/match/athletic-bilbao/alaves/202046336,2020,5,primera_division
Sevilla,Real Madrid,0-1,https://www.besoccer.com/match/sevilla/real-madrid/202046346,2020,5,primera_division
Real Valladolid,Granada,1-1,https://www.besoccer.com/match/valladolid/granada/202046365,2020,6,primera_division
Real Betis,Levante,3-1,https://www.besoccer.com/match/betis/levante/202046350,2020,6,primera_division
Barcelona,Villarreal,2-1,https://www.besoccer.com/match/barcelona/villarreal/202046348,2020,6,primera_division
Leganés,Athletic,1-1,https://www.besoccer.com/match/leganes/athletic-bilbao/202046355,2020,6,primera_division
Mallorca,Atlético,0-2,https://www.besoccer.com/match/mallorca/atletico-madrid/202046357,2020,6,primera_division
Valencia,Getafe,3-3,https://www.besoccer.com/match/valencia-cf/getafe/202046363,2020,6,primera_division
Real Madrid,Osasuna,2-0,https://www.besoccer.com/match/real-madrid/osasuna/202046358,2020,6,primera_division
Eibar,Sevilla,3-2,https://www.besoccer.com/match/eibar/sevilla/202046352,2020,6,primera_division
Celta,Espanyol,1-1,https://www.besoccer.com/match/celta/espanyol/202046351,2020,6,primera_division
R. Sociedad,Alavés,3-0,https://www.besoccer.com/match/real-sociedad/alaves/202046361,2020,6,primera_division
Villarreal,Real Betis,5-1,https://www.besoccer.com/match/villarreal/betis/202046367,2020,7,primera_division
Athletic,Valencia,0-1,https://www.besoccer.com/match/athletic-bilbao/valencia-cf/202046354,2020,7,primera_division
Getafe,Barcelona,0-2,https://www.besoccer.com/match/getafe/barcelona/202046360,2020,7,primera_division
Granada,Leganés,1-0,https://www.besoccer.com/match/granada/leganes/202046362,2020,7,primera_division
Atlético,Real Madrid,0-0,https://www.besoccer.com/match/atletico-madrid/real-madrid/202046304,2020,7,primera_division
Espanyol,Real Valladolid,0-2,https://www.besoccer.com/match/espanyol/valladolid/202046359,2020,7,primera_division
Eibar,Celta,2-0,https://www.besoccer.com/match/eibar/celta/202046356,2020,7,primera_division
Alavés,Mallorca,2-0,https://www.besoccer.com/match/alaves/mallorca/202046353,2020,7,primera_division
Levante,Osasuna,1-1,https://www.besoccer.com/match/levante/osasuna/202046364,2020,7,primera_division
Sevilla,R. Sociedad,3-2,https://www.besoccer.com/match/sevilla/real-sociedad/202046366,2020,7,primera_division
Real Betis,Eibar,1-1,https://www.besoccer.com/match/betis/eibar/202046369,2020,8,primera_division
Leganés,Levante,1-2,https://www.besoccer.com/match/leganes/levante/202046374,2020,8,primera_division
Real Madrid,Granada,4-2,https://www.besoccer.com/match/real-madrid/granada/202046381,2020,8,primera_division
Valencia,Alavés,2-1,https://www.besoccer.com/match/valencia-cf/alaves/202046384,2020,8,primera_division
Osasuna,Villarreal,2-1,https://www.besoccer.com/match/osasuna/villarreal/202046378,2020,8,primera_division
Mallorca,Espanyol,2-0,https://www.besoccer.com/match/mallorca/espanyol/202046376,2020,8,primera_division
Celta,Athletic,1-0,https://www.besoccer.com/match/celta/athletic-bilbao/202046371,2020,8,primera_division
Real Valladolid,Atlético,0-0,https://www.besoccer.com/match/valladolid/atletico-madrid/202046386,2020,8,primera_division
R. Sociedad,Getafe,1-2,https://www.besoccer.com/match/real-sociedad/getafe/202046383,2020,8,primera_division
Barcelona,Sevilla,4-0,https://www.besoccer.com/match/barcelona/sevilla/202046368,2020,8,primera_division
Granada,Osasuna,1-0,https://www.besoccer.com/match/granada/osasuna/202046380,2020,9,primera_division
Eibar,Barcelona,0-3,https://www.besoccer.com/match/eibar/barcelona/202046375,2020,9,primera_division
Atlético,Valencia,1-1,https://www.besoccer.com/match/atletico-madrid/valencia-cf/202046373,2020,9,primera_division
Getafe,Leganés,2-0,https://www.besoccer.com/match/getafe/leganes/202046379,2020,9,primera_division
Mallorca,Real Madrid,1-0,https://www.besoccer.com/match/mallorca/real-madrid/202046382,2020,9,primera_division
Alavés,Celta,2-0,https://www.besoccer.com/match/alaves/celta/202046370,2020,9,primera_division
R. Sociedad,Real Betis,3-1,https://www.besoccer.com/match/real-sociedad/betis/202046385,2020,9,primera_division
Espanyol,Villarreal,0-1,https://www.besoccer.com/match/espanyol/villarreal/202046377,2020,9,primera_division
Athletic,Real Valladolid,1-1,https://www.besoccer.com/match/athletic-bilbao/valladolid/202046372,2020,9,primera_division
Sevilla,Levante,1-0,https://www.besoccer.com/match/sevilla/levante/202046387,2020,9,primera_division
Villarreal,Alavés,4-1,https://www.besoccer.com/match/villarreal/alaves/202046401,2020,10,primera_division
Leganés,Mallorca,1-0,https://www.besoccer.com/match/leganes/mallorca/202046394,2020,10,primera_division
Real Valladolid,Eibar,2-0,https://www.besoccer.com/match/valladolid/eibar/202046402,2020,10,primera_division
Atlético,Athletic,2-0,https://www.besoccer.com/match/atletico-madrid/athletic-bilbao/202046388,2020,10,primera_division
Celta,R. Sociedad,0-1,https://www.besoccer.com/match/celta/real-sociedad/202046390,2020,10,primera_division
Granada,Real Betis,1-0,https://www.besoccer.com/match/granada/betis/202046392,2020,10,primera_division
Levante,Espanyol,0-1,https://www.besoccer.com/match/levante/espanyol/202046395,2020,10,primera_division
Sevilla,Getafe,2-0,https://www.besoccer.com/match/sevilla/getafe/202046399,2020,10,primera_division
Osasuna,Valencia,3-1,https://www.besoccer.com/match/osasuna/valencia-cf/202046397,2020,10,primera_division
Barcelona,Real Madrid,0-0,https://www.besoccer.com/match/barcelona/real-madrid/202046283,2020,10,primera_division
Alavés,Atlético,1-1,https://www.besoccer.com/match/alaves/atletico-madrid/202046389,2020,11,primera_division
Barcelona,Real Valladolid,5-1,https://www.besoccer.com/match/barcelona/valladolid/202046393,2020,11,primera_division
R. Sociedad,Levante,1-2,https://www.besoccer.com/match/real-sociedad/levante/202046405,2020,11,primera_division
Valencia,Sevilla,1-1,https://www.besoccer.com/match/valencia-cf/sevilla/202046406,2020,11,primera_division
Athletic,Espanyol,3-0,https://www.besoccer.com/match/athletic-bilbao/espanyol/202046391,2020,11,primera_division
Real Betis,Celta,2-1,https://www.besoccer.com/match/betis/celta/202046396,2020,11,primera_division
Real Madrid,Leganés,5-0,https://www.besoccer.com/match/real-madrid/leganes/202046404,2020,11,primera_division
Eibar,Villarreal,2-1,https://www.besoccer.com/match/eibar/villarreal/202046398,2020,11,primera_division
Mallorca,Osasuna,2-2,https://www.besoccer.com/match/mallorca/osasuna/202046403,2020,11,primera_division
Getafe,Granada,3-1,https://www.besoccer.com/match/getafe/granada/202046400,2020,11,primera_division
Espanyol,Valencia,1-2,https://www.besoccer.com/match/espanyol/valencia-cf/202046409,2020,12,primera_division
Levante,Barcelona,3-1,https://www.besoccer.com/match/levante/barcelona/202046412,2020,12,primera_division
Sevilla,Atlético,1-1,https://www.besoccer.com/match/sevilla/atletico-madrid/202046415,2020,12,primera_division
Real Madrid,Real Betis,0-0,https://www.besoccer.com/match/real-madrid/betis/202046414,2020,12,primera_division
Real Valladolid,Mallorca,3-0,https://www.besoccer.com/match/valladolid/mallorca/202046418,2020,12,primera_division
Villarreal,Athletic,0-0,https://www.besoccer.com/match/villarreal/athletic-bilbao/202046416,2020,12,primera_division
Osasuna,Alavés,4-2,https://www.besoccer.com/match/osasuna/alaves/202046413,2020,12,primera_division
Celta,Getafe,0-1,https://www.besoccer.com/match/celta/getafe/202046407,2020,12,primera_division
Leganés,Eibar,1-2,https://www.besoccer.com/match/leganes/eibar/202046411,2020,12,primera_division
Granada,R. Sociedad,1-2,https://www.besoccer.com/match/granada/real-sociedad/202046410,2020,12,primera_division
R. Sociedad,Leganés,1-1,https://www.besoccer.com/match/real-sociedad/leganes/202046433,2020,13,primera_division
Alavés,Real Valladolid,3-0,https://www.besoccer.com/match/alaves/valladolid/202046417,2020,13,primera_division
Valencia,Granada,2-0,https://www.besoccer.com/match/valencia-cf/granada/202046434,2020,13,primera_division
Eibar,Real Madrid,0-4,https://www.besoccer.com/match/eibar/real-madrid/202046426,2020,13,primera_division
Barcelona,Celta,4-1,https://www.besoccer.com/match/barcelona/celta/202046423,2020,13,primera_division
Mallorca,Villarreal,3-1,https://www.besoccer.com/match/mallorca/villarreal/202046430,2020,13,primera_division
Athletic,Levante,2-1,https://www.besoccer.com/match/athletic-bilbao/levante/202046419,2020,13,primera_division
Atlético,Espanyol,3-1,https://www.besoccer.com/match/atletico-madrid/espanyol/202046421,2020,13,primera_division
Getafe,Osasuna,0-0,https://www.besoccer.com/match/getafe/osasuna/202046428,2020,13,primera_division
Real Betis,Sevilla,1-2,https://www.besoccer.com/match/betis/sevilla/202046291,2020,13,primera_division
Levante,Mallorca,2-1,https://www.besoccer.com/match/levante/mallorca/202046429,2020,14,primera_division
Leganés,Barcelona,1-2,https://www.besoccer.com/match/leganes/barcelona/202046427,2020,14,primera_division
Real Betis,Valencia,2-1,https://www.besoccer.com/match/betis/valencia-cf/202046420,2020,14,primera_division
Granada,Atlético,1-1,https://www.besoccer.com/match/granada/atletico-madrid/202046425,2020,14,primera_division
Real Madrid,R. Sociedad,3-1,https://www.besoccer.com/match/real-madrid/real-sociedad/202046432,2020,14,primera_division
Espanyol,Getafe,1-1,https://www.besoccer.com/match/espanyol/getafe/202046424,2020,14,primera_division
Osasuna,Athletic,1-2,https://www.besoccer.com/match/osasuna/athletic-bilbao/202046431,2020,14,primera_division
Eibar,Alavés,0-2,https://www.besoccer.com/match/eibar/alaves/202046422,2020,14,primera_division
Villarreal,Celta,1-3,https://www.besoccer.com/match/villarreal/celta/202046435,2020,14,primera_division
Real Valladolid,Sevilla,0-1,https://www.besoccer.com/match/valladolid/sevilla/202046437,2020,14,primera_division
Celta,Real Valladolid,0-0,https://www.besoccer.com/match/celta/valladolid/202046440,2020,15,primera_division
Alavés,Real Madrid,1-2,https://www.besoccer.com/match/alaves/real-madrid/202046436,2020,15,primera_division
R. Sociedad,Eibar,4-1,https://www.besoccer.com/match/real-sociedad/eibar/202046445,2020,15,primera_division
Mallorca,Real Betis,1-2,https://www.besoccer.com/match/mallorca/betis/202046444,2020,15,primera_division
Valencia,Villarreal,2-1,https://www.besoccer.com/match/valencia-cf/villarreal/202046449,2020,15,primera_division
Sevilla,Leganés,1-0,https://www.besoccer.com/match/sevilla/leganes/202046447,2020,15,primera_division
Athletic,Granada,2-0,https://www.besoccer.com/match/athletic-bilbao/granada/202046438,2020,15,primera_division
Espanyol,Osasuna,2-4,https://www.besoccer.com/match/espanyol/osasuna/202046441,2020,15,primera_division
Getafe,Levante,4-0,https://www.besoccer.com/match/getafe/levante/202046442,2020,15,primera_division
Atlético,Barcelona,0-1,https://www.besoccer.com/match/atletico-madrid/barcelona/202046439,2020,15,primera_division
Villarreal,Atlético,0-0,https://www.besoccer.com/match/villarreal/atletico-madrid/202046462,2020,16,primera_division
Real Madrid,Espanyol,2-0,https://www.besoccer.com/match/real-madrid/espanyol/202046460,2020,16,primera_division
Granada,Alavés,3-0,https://www.besoccer.com/match/granada/alaves/202046450,2020,16,primera_division
Levante,Valencia,2-4,https://www.besoccer.com/match/levante/valencia-cf/202046457,2020,16,primera_division
Barcelona,Mallorca,5-2,https://www.besoccer.com/match/barcelona/mallorca/202046443,2020,16,primera_division
Eibar,Getafe,0-1,https://www.besoccer.com/match/eibar/getafe/202046448,2020,16,primera_division
Real Betis,Athletic,3-2,https://www.besoccer.com/match/betis/athletic-bilbao/202046446,2020,16,primera_division
Real Valladolid,R. Sociedad,0-0,https://www.besoccer.com/match/valladolid/real-sociedad/202046463,2020,16,primera_division
Leganés,Celta,3-2,https://www.besoccer.com/match/leganes/celta/202046455,2020,16,primera_division
Osasuna,Sevilla,1-1,https://www.besoccer.com/match/osasuna/sevilla/202046458,2020,16,primera_division
Alavés,Leganés,1-1,https://www.besoccer.com/match/alaves/leganes/202046451,2020,17,primera_division
Granada,Levante,1-2,https://www.besoccer.com/match/granada/levante/202046464,2020,17,primera_division
R. Sociedad,Barcelona,2-2,https://www.besoccer.com/match/real-sociedad/barcelona/202046466,2020,17,primera_division
Athletic,Eibar,0-0,https://www.besoccer.com/match/athletic-bilbao/eibar/202046453,2020,17,primera_division
Atlético,Osasuna,2-0,https://www.besoccer.com/match/atletico-madrid/osasuna/202046454,2020,17,primera_division
Getafe,Real Valladolid,2-0,https://www.besoccer.com/match/getafe/valladolid/202046461,2020,17,primera_division
Celta,Mallorca,2-2,https://www.besoccer.com/match/celta/mallorca/202046456,2020,17,primera_division
Espanyol,Real Betis,2-2,https://www.besoccer.com/match/espanyol/betis/202046459,2020,17,primera_division
Sevilla,Villarreal,1-2,https://www.besoccer.com/match/sevilla/villarreal/202046467,2020,17,primera_division
Valencia,Real Madrid,1-1,https://www.besoccer.com/match/valencia-cf/real-madrid/202046470,2020,17,primera_division
Eibar,Granada,3-0,https://www.besoccer.com/match/eibar/granada/202046469,2020,18,primera_division
Mallorca,Sevilla,0-2,https://www.besoccer.com/match/mallorca/sevilla/202046473,2020,18,primera_division
Barcelona,Alavés,4-1,https://www.besoccer.com/match/barcelona/alaves/202046465,2020,18,primera_division
Villarreal,Getafe,1-0,https://www.besoccer.com/match/villarreal/getafe/202046478,2020,18,primera_division
Real Valladolid,Valencia,1-1,https://www.besoccer.com/match/valladolid/valencia-cf/202046480,2020,18,primera_division
Leganés,Espanyol,2-0,https://www.besoccer.com/match/leganes/espanyol/202046471,2020,18,primera_division
Osasuna,R. Sociedad,3-4,https://www.besoccer.com/match/osasuna/real-sociedad/202046475,2020,18,primera_division
Real Betis,Atlético,1-2,https://www.besoccer.com/match/betis/atletico-madrid/202046468,2020,18,primera_division
Levante,Celta,3-1,https://www.besoccer.com/match/levante/celta/202046472,2020,18,primera_division
Real Madrid,Athletic,0-0,https://www.besoccer.com/match/real-madrid/athletic-bilbao/202046476,2020,18,primera_division
Real Valladolid,Leganés,2-2,https://www.besoccer.com/match/valladolid/leganes/202046492,2020,19,primera_division
Sevilla,Athletic,1-1,https://www.besoccer.com/match/sevilla/athletic-bilbao/202046488,2020,19,primera_division
Valencia,Eibar,1-0,https://www.besoccer.com/match/valencia-cf/eibar/202046490,2020,19,primera_division
Getafe,Real Madrid,0-3,https://www.besoccer.com/match/getafe/real-madrid/202046482,2020,19,primera_division
Atlético,Levante,2-1,https://www.besoccer.com/match/atletico-madrid/levante/202046477,2020,19,primera_division
Espanyol,Barcelona,2-2,https://www.besoccer.com/match/espanyol/barcelona/202046481,2020,19,primera_division
Granada,Mallorca,1-0,https://www.besoccer.com/match/granada/mallorca/202046484,2020,19,primera_division
R. Sociedad,Villarreal,1-2,https://www.besoccer.com/match/real-sociedad/villarreal/202046486,2020,19,primera_division
Alavés,Real Betis,1-1,https://www.besoccer.com/match/alaves/betis/202046474,2020,19,primera_division
Celta,Osasuna,1-1,https://www.besoccer.com/match/celta/osasuna/202046479,2020,19,primera_division
Leganés,Getafe,0-3,https://www.besoccer.com/match/leganes/getafe/202046491,2020,20,primera_division
Levante,Alavés,0-1,https://www.besoccer.com/match/levante/alaves/202046493,2020,20,primera_division
Real Madrid,Sevilla,2-1,https://www.besoccer.com/match/real-madrid/sevilla/202046497,2020,20,primera_division
Osasuna,Real Valladolid,0-0,https://www.besoccer.com/match/osasuna/valladolid/202046496,2020,20,primera_division
Eibar,Atlético,2-0,https://www.besoccer.com/match/eibar/atletico-madrid/202046489,2020,20,primera_division
Mallorca,Valencia,4-1,https://www.besoccer.com/match/mallorca/valencia-cf/202046494,2020,20,primera_division
Real Betis,R. Sociedad,3-0,https://www.besoccer.com/match/betis/real-sociedad/202046487,2020,20,primera_division
Villarreal,Espanyol,1-2,https://www.besoccer.com/match/villarreal/espanyol/202046500,2020,20,primera_division
Athletic,Celta,1-1,https://www.besoccer.com/match/athletic-bilbao/celta/202046483,2020,20,primera_division
