Home_Team,Away_Team,Result,Link,Season,Round,League
Xerez,RM Castilla,2-1,https://www.besoccer.com/match/xerez/rm-castilla/200610088,2006,1,segunda_division
Levante,Poli Ejido,2-0,https://www.besoccer.com/match/levante/ejido/200610087,2006,1,segunda_division
Tenerife,Gimnàstic Tarragona,3-1,https://www.besoccer.com/match/tenerife/gimnastic-tarragona/200610086,2006,1,segunda_division
Real Sporting,Albacete,2-0,https://www.besoccer.com/match/sporting-gijon/albacete/200610085,2006,1,segunda_division
Ciudad de Murcia,Recreativo,3-1,https://www.besoccer.com/match/ciudad-de-murcia/recreativo/200610084,2006,1,segunda_division
Lorca Deportiva,Racing Ferrol,1-1,https://www.besoccer.com/match/lorca-deportiva-cf-sad/racing-club-ferrol/200610083,2006,1,segunda_division
Eibar,Elche,1-2,https://www.besoccer.com/match/eibar/elche/200610082,2006,1,segunda_division
Lleida,CD Castellón,1-0,https://www.besoccer.com/match/ue-lleida/cd-castellon/200610078,2006,1,segunda_division
Real Valladolid,Real Murcia,1-0,https://www.besoccer.com/match/valladolid/real-murcia/200610079,2006,1,segunda_division
Hércules,At. Malagueño,1-1,https://www.besoccer.com/match/hercules/atletico-malagueno/200610080,2006,1,segunda_division
Numancia,Almería,3-0,https://www.besoccer.com/match/numancia/almeria/200610081,2006,1,segunda_division
CD Castellón,Numancia,0-1,https://www.besoccer.com/match/cd-castellon/numancia/200610075,2006,2,segunda_division
Recreativo,Tenerife,3-1,https://www.besoccer.com/match/recreativo/tenerife/200610076,2006,2,segunda_division
Racing Ferrol,Levante,1-2,https://www.besoccer.com/match/racing-club-ferrol/levante/200610077,2006,2,segunda_division
Almería,Xerez,3-0,https://www.besoccer.com/match/almeria/xerez/200610071,2006,2,segunda_division
At. Malagueño,Ciudad de Murcia,0-1,https://www.besoccer.com/match/atletico-malagueno/ciudad-de-murcia/200610072,2006,2,segunda_division
Gimnàstic Tarragona,Real Sporting,0-4,https://www.besoccer.com/match/gimnastic-tarragona/sporting-gijon/200610073,2006,2,segunda_division
Poli Ejido,Lleida,2-1,https://www.besoccer.com/match/ejido/ue-lleida/200610074,2006,2,segunda_division
RM Castilla,Hércules,3-0,https://www.besoccer.com/match/rm-castilla/hercules/200610068,2006,2,segunda_division
Real Murcia,Eibar,1-0,https://www.besoccer.com/match/real-murcia/eibar/200610069,2006,2,segunda_division
Elche,Lorca Deportiva,1-3,https://www.besoccer.com/match/elche/lorca-deportiva-cf-sad/200610070,2006,2,segunda_division
Albacete,Real Valladolid,2-3,https://www.besoccer.com/match/albacete/valladolid/200610067,2006,2,segunda_division
Lleida,Numancia,5-0,https://www.besoccer.com/match/ue-lleida/numancia/200610064,2006,3,segunda_division
Eibar,Albacete,1-1,https://www.besoccer.com/match/eibar/albacete/200610065,2006,3,segunda_division
Real Valladolid,Gimnàstic Tarragona,0-2,https://www.besoccer.com/match/valladolid/gimnastic-tarragona/200610063,2006,3,segunda_division
Hércules,Almería,2-2,https://www.besoccer.com/match/hercules/almeria/200610066,2006,3,segunda_division
Levante,Elche,1-0,https://www.besoccer.com/match/levante/elche/200610062,2006,3,segunda_division
Real Sporting,Recreativo,1-1,https://www.besoccer.com/match/sporting-gijon/recreativo/200610058,2006,3,segunda_division
Xerez,CD Castellón,2-1,https://www.besoccer.com/match/xerez/cd-castellon/200610059,2006,3,segunda_division
Poli Ejido,Racing Ferrol,4-2,https://www.besoccer.com/match/ejido/racing-club-ferrol/200610060,2006,3,segunda_division
Tenerife,At. Malagueño,3-2,https://www.besoccer.com/match/tenerife/atletico-malagueno/200610061,2006,3,segunda_division
Lorca Deportiva,Real Murcia,0-1,https://www.besoccer.com/match/lorca-deportiva-cf-sad/real-murcia/200610056,2006,3,segunda_division
Ciudad de Murcia,RM Castilla,2-1,https://www.besoccer.com/match/ciudad-de-murcia/rm-castilla/200610057,2006,3,segunda_division
RM Castilla,Tenerife,1-2,https://www.besoccer.com/match/rm-castilla/tenerife/200610053,2006,4,segunda_division
Almería,Ciudad de Murcia,1-0,https://www.besoccer.com/match/almeria/ciudad-de-murcia/200610052,2006,4,segunda_division
At. Malagueño,Real Sporting,1-0,https://www.besoccer.com/match/atletico-malagueno/sporting-gijon/200610054,2006,4,segunda_division
CD Castellón,Hércules,1-2,https://www.besoccer.com/match/cd-castellon/hercules/200610055,2006,4,segunda_division
