Home_Team,Away_Team,Result,Link,Season,Round,League
Estoril,Arouca,1-0,https://www.besoccer.com/match/estoril/arouca/202184185,2021,1,segunda_liga
Vizela,UD Oliveirense,2-1,https://www.besoccer.com/match/vizela/ud-oliveirense/202184195,2021,1,segunda_liga
Cova Piedade,Mafra,0-4,https://www.besoccer.com/match/cova-piedade/mafra/202184180,2021,1,segunda_liga
Leixões,Casa Pia,2-2,https://www.besoccer.com/match/leixoes/casa-pia/202184198,2021,1,segunda_liga
Benfica II,Vilafranquense,3-2,https://www.besoccer.com/match/benfica-ii/vilafranquense/202184203,2021,1,segunda_liga
Varzim,Porto II,1-0,https://www.besoccer.com/match/varzim/porto-ii/202184207,2021,1,segunda_liga
Penafiel,SP. Covilhã,1-0,https://www.besoccer.com/match/penafiel/sporting-covilha/202184190,2021,1,segunda_liga
Academico Viseu,Académica,0-0,https://www.besoccer.com/match/academico-viseu/academica/202184177,2021,1,segunda_liga
Feirense,Chaves,0-4,https://www.besoccer.com/match/feirense/chaves/202184182,2021,1,segunda_liga
Estoril,Arouca,1-0,https://www.besoccer.com/match/estoril/arouca/202184185,2021,2,segunda_liga
Vizela,UD Oliveirense,2-1,https://www.besoccer.com/match/vizela/ud-oliveirense/202184195,2021,2,segunda_liga
Cova Piedade,Mafra,0-4,https://www.besoccer.com/match/cova-piedade/mafra/202184180,2021,2,segunda_liga
Leixões,Casa Pia,2-2,https://www.besoccer.com/match/leixoes/casa-pia/202184198,2021,2,segunda_liga
Benfica II,Vilafranquense,3-2,https://www.besoccer.com/match/benfica-ii/vilafranquense/202184203,2021,2,segunda_liga
Varzim,Porto II,1-0,https://www.besoccer.com/match/varzim/porto-ii/202184207,2021,2,segunda_liga
Penafiel,SP. Covilhã,1-0,https://www.besoccer.com/match/penafiel/sporting-covilha/202184190,2021,2,segunda_liga
Academico Viseu,Académica,0-0,https://www.besoccer.com/match/academico-viseu/academica/202184177,2021,2,segunda_liga
Feirense,Chaves,0-4,https://www.besoccer.com/match/feirense/chaves/202184182,2021,2,segunda_liga
Estoril,Arouca,1-0,https://www.besoccer.com/match/estoril/arouca/202184185,2021,3,segunda_liga
Vizela,UD Oliveirense,2-1,https://www.besoccer.com/match/vizela/ud-oliveirense/202184195,2021,3,segunda_liga
Cova Piedade,Mafra,0-4,https://www.besoccer.com/match/cova-piedade/mafra/202184180,2021,3,segunda_liga
Leixões,Casa Pia,2-2,https://www.besoccer.com/match/leixoes/casa-pia/202184198,2021,3,segunda_liga
Benfica II,Vilafranquense,3-2,https://www.besoccer.com/match/benfica-ii/vilafranquense/202184203,2021,3,segunda_liga
Varzim,Porto II,1-0,https://www.besoccer.com/match/varzim/porto-ii/202184207,2021,3,segunda_liga
Penafiel,SP. Covilhã,1-0,https://www.besoccer.com/match/penafiel/sporting-covilha/202184190,2021,3,segunda_liga
Academico Viseu,Académica,0-0,https://www.besoccer.com/match/academico-viseu/academica/202184177,2021,3,segunda_liga
Feirense,Chaves,0-4,https://www.besoccer.com/match/feirense/chaves/202184182,2021,3,segunda_liga
Estoril,Arouca,1-0,https://www.besoccer.com/match/estoril/arouca/202184185,2021,4,segunda_liga
Vizela,UD Oliveirense,2-1,https://www.besoccer.com/match/vizela/ud-oliveirense/202184195,2021,4,segunda_liga
