Home_Team,Away_Team,Result,Link,Season,Round,League
Udinese,Genoa,0-1,https://www.besoccer.com/match/udinese/genoa/201131513,2011,1,serie_a
Roma,Cesena,0-0,https://www.besoccer.com/match/roma/ac-cesena/201131511,2011,1,serie_a
SSC Bari,Juventus,1-0,https://www.besoccer.com/match/as-bari/juventus-fc/201131507,2011,1,serie_a
Chievo,Catania,2-1,https://www.besoccer.com/match/chievo/catania/201131508,2011,1,serie_a
Milan,Lecce,4-0,https://www.besoccer.com/match/milan/lecce/201131509,2011,1,serie_a
Parma,Brescia,2-0,https://www.besoccer.com/match/parma-fc/brescia/201131510,2011,1,serie_a
Sampdoria,Lazio,2-0,https://www.besoccer.com/match/sampdoria/lazio/201131512,2011,1,serie_a
Palermo FC,Cagliari,0-0,https://www.besoccer.com/match/palermo/cagliari/201131514,2011,1,serie_a
Fiorentina,Napoli,1-1,https://www.besoccer.com/match/fiorentina/napoli/201131516,2011,1,serie_a
Bologna,Inter,0-0,https://www.besoccer.com/match/bologna/internazionale/201131515,2011,1,serie_a
Inter,Udinese,2-1,https://www.besoccer.com/match/internazionale/udinese/201131522,2011,2,serie_a
Cagliari,Roma,5-1,https://www.besoccer.com/match/cagliari/roma/201131518,2011,2,serie_a
Cesena,Milan,2-0,https://www.besoccer.com/match/ac-cesena/milan/201131520,2011,2,serie_a
Brescia,Palermo FC,3-2,https://www.besoccer.com/match/brescia/palermo/201131517,2011,2,serie_a
Catania,Parma,2-1,https://www.besoccer.com/match/catania/parma-fc/201131519,2011,2,serie_a
Genoa,Chievo,1-3,https://www.besoccer.com/match/genoa/chievo/201131521,2011,2,serie_a
Juventus,Sampdoria,3-3,https://www.besoccer.com/match/juventus-fc/sampdoria/201131523,2011,2,serie_a
Lazio,Bologna,3-1,https://www.besoccer.com/match/lazio/bologna/201131524,2011,2,serie_a
Lecce,Fiorentina,1-0,https://www.besoccer.com/match/lecce/fiorentina/201131525,2011,2,serie_a
Napoli,SSC Bari,2-2,https://www.besoccer.com/match/napoli/as-bari/201131526,2011,2,serie_a
Fiorentina,Lazio,1-2,https://www.besoccer.com/match/fiorentina/lazio/201131536,2011,3,serie_a
Milan,Catania,1-1,https://www.besoccer.com/match/milan/catania/201131530,2011,3,serie_a
SSC Bari,Cagliari,0-0,https://www.besoccer.com/match/as-bari/cagliari/201131527,2011,3,serie_a
Chievo,Brescia,0-1,https://www.besoccer.com/match/chievo/brescia/201131528,2011,3,serie_a
Cesena,Lecce,1-0,https://www.besoccer.com/match/ac-cesena/lecce/201131529,2011,3,serie_a
Parma,Genoa,1-1,https://www.besoccer.com/match/parma-fc/genoa/201131531,2011,3,serie_a
Roma,Bologna,2-2,https://www.besoccer.com/match/roma/bologna/201131532,2011,3,serie_a
Udinese,Juventus,0-4,https://www.besoccer.com/match/udinese/juventus-fc/201131534,2011,3,serie_a
Palermo FC,Inter,1-2,https://www.besoccer.com/match/palermo/internazionale/201131535,2011,3,serie_a
Sampdoria,Napoli,1-2,https://www.besoccer.com/match/sampdoria/napoli/201131533,2011,3,serie_a
Brescia,Roma,2-1,https://www.besoccer.com/match/brescia/roma/201131537,2011,4,serie_a
Cagliari,Sampdoria,0-0,https://www.besoccer.com/match/cagliari/sampdoria/201131538,2011,4,serie_a
Catania,Cesena,2-0,https://www.besoccer.com/match/catania/ac-cesena/201131539,2011,4,serie_a
Genoa,Fiorentina,1-1,https://www.besoccer.com/match/genoa/fiorentina/201131540,2011,4,serie_a
Inter,SSC Bari,4-0,https://www.besoccer.com/match/internazionale/as-bari/201131541,2011,4,serie_a
Lazio,Milan,1-1,https://www.besoccer.com/match/lazio/milan/201131543,2011,4,serie_a
Lecce,Parma,1-1,https://www.besoccer.com/match/lecce/parma-fc/201131544,2011,4,serie_a
Bologna,Udinese,2-1,https://www.besoccer.com/match/bologna/udinese/201131545,2011,4,serie_a
Napoli,Chievo,1-3,https://www.besoccer.com/match/napoli/chievo/201131546,2011,4,serie_a
Juventus,Palermo FC,1-3,https://www.besoccer.com/match/juventus-fc/palermo/201131542,2011,4,serie_a
Milan,Genoa,1-0,https://www.besoccer.com/match/milan/genoa/201131552,2011,5,serie_a
Roma,Inter,1-0,https://www.besoccer.com/match/roma/internazionale/201131553,2011,5,serie_a
Cesena,Napoli,1-4,https://www.besoccer.com/match/ac-cesena/napoli/201131550,2011,5,serie_a
SSC Bari,Brescia,2-1,https://www.besoccer.com/match/as-bari/brescia/201131547,2011,5,serie_a
Chievo,Lazio,0-1,https://www.besoccer.com/match/chievo/lazio/201131548,2011,5,serie_a
Catania,Bologna,1-1,https://www.besoccer.com/match/catania/bologna/201131549,2011,5,serie_a
Sampdoria,Udinese,0-0,https://www.besoccer.com/match/sampdoria/udinese/201131554,2011,5,serie_a
Palermo FC,Lecce,2-2,https://www.besoccer.com/match/palermo/lecce/201131555,2011,5,serie_a
Fiorentina,Parma,2-0,https://www.besoccer.com/match/fiorentina/parma-fc/201131556,2011,5,serie_a
Juventus,Cagliari,4-2,https://www.besoccer.com/match/juventus-fc/cagliari/201131551,2011,5,serie_a
Udinese,Cesena,1-0,https://www.besoccer.com/match/udinese/ac-cesena/201131563,2011,6,serie_a
Parma,Milan,0-1,https://www.besoccer.com/match/parma-fc/milan/201131562,2011,6,serie_a
Lecce,Catania,1-0,https://www.besoccer.com/match/lecce/catania/201131561,2011,6,serie_a
Chievo,Cagliari,0-0,https://www.besoccer.com/match/chievo/cagliari/201131557,2011,6,serie_a
Genoa,SSC Bari,2-1,https://www.besoccer.com/match/genoa/as-bari/201131558,2011,6,serie_a
Lazio,Brescia,1-0,https://www.besoccer.com/match/lazio/brescia/201131560,2011,6,serie_a
Bologna,Sampdoria,1-1,https://www.besoccer.com/match/bologna/sampdoria/201131564,2011,6,serie_a
Fiorentina,Palermo FC,1-2,https://www.besoccer.com/match/fiorentina/palermo/201131565,2011,6,serie_a
Napoli,Roma,2-0,https://www.besoccer.com/match/napoli/roma/201131566,2011,6,serie_a
Inter,Juventus,0-0,https://www.besoccer.com/match/internazionale/juventus-fc/201131559,2011,6,serie_a
Milan,Chievo,3-1,https://www.besoccer.com/match/milan/chievo/201131573,2011,7,serie_a
Roma,Genoa,2-1,https://www.besoccer.com/match/roma/genoa/201131575,2011,7,serie_a
Cagliari,Inter,0-1,https://www.besoccer.com/match/cagliari/internazionale/201131569,2011,7,serie_a
Brescia,Udinese,0-1,https://www.besoccer.com/match/brescia/udinese/201131568,2011,7,serie_a
Catania,Napoli,1-1,https://www.besoccer.com/match/catania/napoli/201131570,2011,7,serie_a
Cesena,Parma,1-1,https://www.besoccer.com/match/ac-cesena/parma-fc/201131571,2011,7,serie_a
Juventus,Lecce,4-0,https://www.besoccer.com/match/juventus-fc/lecce/201131572,2011,7,serie_a
Palermo FC,Bologna,4-1,https://www.besoccer.com/match/palermo/bologna/201131574,2011,7,serie_a
Sampdoria,Fiorentina,2-1,https://www.besoccer.com/match/sampdoria/fiorentina/201131576,2011,7,serie_a
