Home_Team,Away_Team,Result,Link,Season,Round,League
Spezia,Salernitana,1-1,https://www.besoccer.com/match/asd-spezia/salernitana-calcio-1919/2017181804,2017,1,serie_b
Avellino,Brescia,1-1,https://www.besoccer.com/match/us-avellino/brescia/2017181796,2017,1,serie_b
SSC Bari,Cittadella,1-2,https://www.besoccer.com/match/as-bari/as-cittadella/2017181797,2017,1,serie_b
Benevento,SPAL,2-0,https://www.besoccer.com/match/benevento-calcio/spal-1907/2017181798,2017,1,serie_b
Frosinone,Virtus Entella,2-0,https://www.besoccer.com/match/frosinone-calcio/virtus-entella/2017181800,2017,1,serie_b
Hellas Verona,Latina,4-1,https://www.besoccer.com/match/hellas-verona-fc/latina/2017181801,2017,1,serie_b
Pro Vercelli,Ascoli,1-1,https://www.besoccer.com/match/us-pro-vercelli-calcio/ascoli/2017181803,2017,1,serie_b
Vicenza ,Carpi,0-2,https://www.besoccer.com/match/vicenza-calcio/carpi/2017181806,2017,1,serie_b
Novara,Trapani,2-2,https://www.besoccer.com/match/novara-calcio/trapani/2017181802,2017,1,serie_b
Cesena,Perugia,1-1,https://www.besoccer.com/match/ac-cesena/perugia/2017181799,2017,1,serie_b
Ternana Calcio,Pisa,1-0,https://www.besoccer.com/match/ternana-calcio/pisa-calcio/2017181805,2017,1,serie_b
Brescia,Frosinone,2-0,https://www.besoccer.com/match/brescia/frosinone-calcio/2017181808,2017,2,serie_b
Cittadella,Ternana Calcio,2-0,https://www.besoccer.com/match/as-cittadella/ternana-calcio/2017181810,2017,2,serie_b
Perugia,SSC Bari,0-1,https://www.besoccer.com/match/perugia/as-bari/2017181812,2017,2,serie_b
Virtus Entella,Avellino,2-0,https://www.besoccer.com/match/virtus-entella/us-avellino/2017181817,2017,2,serie_b
Carpi,Benevento,1-1,https://www.besoccer.com/match/carpi/benevento-calcio/2017181809,2017,2,serie_b
Latina,Spezia,0-0,https://www.besoccer.com/match/latina/asd-spezia/2017181811,2017,2,serie_b
Pisa,Novara,1-0,https://www.besoccer.com/match/pisa-calcio/novara-calcio/2017181813,2017,2,serie_b
Salernitana,Hellas Verona,1-1,https://www.besoccer.com/match/salernitana-calcio-1919/hellas-verona-fc/2017181814,2017,2,serie_b
SPAL,Vicenza ,3-0,https://www.besoccer.com/match/spal-1907/vicenza-calcio/2017181815,2017,2,serie_b
Trapani,Pro Vercelli,1-1,https://www.besoccer.com/match/trapani/us-pro-vercelli-calcio/2017181816,2017,2,serie_b
Ascoli,Cesena,0-0,https://www.besoccer.com/match/ascoli/ac-cesena/2017181807,2017,2,serie_b
Cesena,Carpi,1-0,https://www.besoccer.com/match/ac-cesena/carpi/2017181856,2017,3,serie_b
Ascoli,SPAL,1-1,https://www.besoccer.com/match/ascoli/spal-1907/2017181852,2017,3,serie_b
Avellino,Trapani,0-0,https://www.besoccer.com/match/us-avellino/trapani/2017181853,2017,3,serie_b
Benevento,Hellas Verona,2-0,https://www.besoccer.com/match/benevento-calcio/hellas-verona-fc/2017181854,2017,3,serie_b
Brescia,Perugia,1-1,https://www.besoccer.com/match/brescia/perugia/2017181855,2017,3,serie_b
Frosinone,Latina,2-1,https://www.besoccer.com/match/frosinone-calcio/latina/2017181857,2017,3,serie_b
Novara,Salernitana,1-0,https://www.besoccer.com/match/novara-calcio/salernitana-calcio-1919/2017181858,2017,3,serie_b
Pro Vercelli,Cittadella,1-5,https://www.besoccer.com/match/us-pro-vercelli-calcio/as-cittadella/2017181859,2017,3,serie_b
Vicenza ,SSC Bari,0-0,https://www.besoccer.com/match/vicenza-calcio/as-bari/2017181862,2017,3,serie_b
Ternana Calcio,Spezia,1-1,https://www.besoccer.com/match/ternana-calcio/asd-spezia/2017181860,2017,3,serie_b
Virtus Entella,Pisa,0-0,https://www.besoccer.com/match/virtus-entella/pisa-calcio/2017181861,2017,3,serie_b
